,Movie Name,Review Star Avg
121,데드 얼라이브,평균 ★3.4 (1만명)
122,불신지옥,평균 ★3.0 (4만명)
123,맨 인 더 다크,"평균 ★2.7 (7,474명)"
124,스켈리톤 키,평균 ★3.3 (3만명)
125,트라이앵글,평균 ★3.6 (16만명)
126,제인 도,평균 ★3.2 (5만명)
127,반교: 디텐션,"평균 ★3.3 (4,868명)"
128,하우스 오브 왁스,평균 ★2.8 (8만명)
129,컨저링,"평균 ★2.7 (7,765명)"
130,더 로드,평균 ★3.4 (3만명)
131,떼시스,평균 ★3.5 (1만명)
132,에이리언 2020,평균 ★3.5 (7만명)
133,1408,평균 ★3.3 (9만명)
134,사일런트 힐,평균 ★3.4 (12만명)
135,라스트 나잇 인 소호,평균 ★3.2 (1만명)
136,마마,"평균 ★3.1 (5,149명)"
137,어느날 갑자기 세번째 이야기 - D-day,"평균 ★2.4 (4,472명)"
138,스테이크 랜드,평균 ★3.9 (2만명)
139,그린 북,평균 ★4.2 (31만명)
140,가버나움,평균 ★4.3 (4만명)
141,원더,평균 ★3.9 (3만명)
142,아일라,"평균 ★3.5 (6,404명)"
143,당갈,평균 ★4.0 (3만명)
144,먼 훗날 우리,평균 ★3.9 (3만명)
145,쇼생크 탈출,평균 ★4.4 (81만명)
146,덕구,평균 ★3.6 (1만명)
147,보헤미안 랩소디,평균 ★3.8 (24만명)
148,포레스트 검프,평균 ★4.3 (57만명)
149,위대한 쇼맨,평균 ★3.7 (15만명)
150,인생은 아름다워,평균 ★4.4 (48만명)
151,헬프,평균 ★4.0 (38만명)
152,캐스트 어웨이,평균 ★4.0 (33만명)
153,쉰들러 리스트,평균 ★4.2 (28만명)
154,죽은 시인의 사회,평균 ★4.2 (63만명)
155,히든 피겨스,평균 ★4.0 (12만명)
156,집으로...,평균 ★3.8 (54만명)
157,여인의 향기,평균 ★4.1 (11만명)
158,아이 캔 스피크,평균 ★4.0 (48만명)
159,동주,평균 ★3.9 (47만명)
160,굿바이 마이 프랜드,평균 ★4.0 (12만명)
161,굿 윌 헌팅,평균 ★4.2 (44만명)
162,미스 슬로운,평균 ★4.0 (19만명)
163,자산어보,평균 ★3.7 (2만명)
164,지상의 별처럼,평균 ★3.8 (1만명)
165,아마데우스,평균 ★4.0 (20만명)
166,두 교황,평균 ★3.9 (2만명)
167,아이 엠 샘,평균 ★4.0 (47만명)
168,그대를 사랑합니다,평균 ★3.7 (20만명)
169,빌리 엘리어트,평균 ★4.1 (48만명)
170,피아니스트,평균 ★4.1 (33만명)
171,시네마 천국,평균 ★4.3 (33만명)
172,소원,평균 ★3.8 (35만명)
173,우리들의 일그러진 영웅,평균 ★3.5 (11만명)
174,블라인드 사이드,평균 ★4.0 (29만명)
175,패왕별희 디 오리지널,평균 ★4.1 (2만명)
176,코러스,평균 ★3.9 (13만명)
177,뷰티풀 투모로우,평균 ★3.6 (62만명)
178,8월의 크리스마스,평균 ★3.9 (29만명)
179,록키,평균 ★3.8 (4만명)
180,일급 살인,평균 ★3.9 (4만명)
181,달링,평균 ★3.4 (574명)
182,시월애,평균 ★3.5 (14만명)
183,인생,평균 ★4.4 (48만명)
184,허스토리,평균 ★3.9 (3만명)
185,내 이름은 칸,평균 ★3.9 (16만명)
186,"나, 다니엘 블레이크",평균 ★4.1 (12만명)
187,천국의 아이들,평균 ★3.9 (12만명)
188,공동경비구역 JSA,평균 ★3.9 (52만명)
189,클래식,평균 ★3.9 (69만명)
190,사운드 오브 뮤직,평균 ★4.0 (47만명)
191,타이타닉,평균 ★4.3 (103만명)
192,"지금, 만나러 갑니다",평균 ★3.9 (34만명)
193,로망,평균 ★4.0 (14만명)
194,플립,평균 ★4.0 (67만명)
195,소년시절의 너,평균 ★4.2 (5만명)
196,말할 수 없는 비밀,평균 ★4.0 (130만명)
197,사랑과 영혼,평균 ★3.8 (17만명)
198,첫 키스만 50번째,평균 ★3.7 (38만명)
199,러브 앳,평균 ★3.6 (1만명)
200,어바웃 타임,평균 ★4.3 (142만명)
201,사랑의 블랙홀,평균 ★3.9 (10만명)
202,러브 어페어,평균 ★3.8 (3만명)
203,첨밀밀,평균 ★3.9 (15만명)
204,그해 여름,평균 ★3.4 (6만명)
205,오직 그대만,평균 ★3.5 (29만명)
206,이터널 선샤인,평균 ★4.2 (69만명)
