id,Movie Name,Naver Star,Director
137,제인 도,7.88,안드레 외브레달
138,반교: 디텐션,7.86,존 쉬
139,하우스 오브 왁스,7.86,자움 콜렛 세라
140,컨저링,7.85,제임스 완
141,더 로드,7.84,장-바티스트 안드레아
142,떼시스,7.84,알레한드로 아메나바르
143,에이리언 2020,7.77,데이빗 토히
144,1408,7.77,미카엘 하프스트롬
145,사일런트 힐,7.71,크리스토프 갱스
146,라스트 나잇 인 소호,7.7,에드가 라이트
147,마마,7.68,안드레스 무시에티
148,어느날 갑자기 세번째 이야기 - D-day,7.67,김은경
149,스테이크 랜드,7.67,짐 미클
150,클래식,9.44,곽재용
151,사운드 오브 뮤직,9.42,로버트 와이즈
152,타이타닉,9.41,제임스 카메론
153,"지금, 만나러 갑니다",9.35,도이 노부히로
154,로망,9.34,이창근
155,플립,9.29,로브 라이너
156,소년시절의 너,9.28,증국상
157,말할 수 없는 비밀,9.27,주걸륜
158,사랑과 영혼,9.22,제리 주커
159,첫 키스만 50번째,9.21,피터 시걸
160,러브 앳,9.19,위고 젤랭
161,어바웃 타임,9.18,리차드 커티스
162,사랑의 블랙홀,9.17,해롤드 래미스
163,러브 어페어,9.15,글렌 고든 카슨
164,첨밀밀,9.14,진가신
165,그해 여름,9.13,조근식
166,오직 그대만,9.13,송일곤
167,이터널 선샤인,9.12,미셸 공드리
168,파이란,9.11,송해성
169,노팅 힐,9.1,로저 미첼
170,너는 내 운명,9.08,박진표
171,이프 온리,9.07,길 정거
172,노트북,9.07,닉 카사베츠
173,꽃다발 같은 사랑을 했다,9.06,도이 노부히로
174,당신이 잠든 사이에,9.06,존 터틀타웁
175,더티 댄싱,9.03,에밀 아돌리노
176,동감,9.02,김정권
177,성원,9.02,마초성
178,블루 라군,9.02,랜달 크레이저
179,청설,9.02,청펀펀
180,"그 시절, 우리가 좋아했던 소녀",9.01,구파도
181,보디가드,9,믹 잭슨
182,연애소설,8.99,이한
183,마법에 걸린 사랑,8.99,케빈 리마
184,내 이야기!!,8.99,카와이 하야토
185,번지 점프를 하다,8.98,김대승
186,선물,8.97,오기환
187,오버 더 레인보우,8.97,안진우
188,윤희에게,8.95,임대형
189,"나는 내일, 어제의 너와 만난다",8.94,미키 타카히로
190,러브 액츄얼리,8.92,리차드 커티스
191,"다만, 널 사랑하고 있어",8.9,신조 타케히코
192,에버 애프터,8.9,앤디 테넌트
193,미드나잇 선,8.9,스콧 스피어
194,...ing,8.88,이언희
195,비포 선라이즈,8.86,리처드 링클레이터
196,내 머리 속의 지우개,8.85,이재한
197,그 여자 작사 그 남자 작곡,8.85,마크 로렌스
198,나의 소녀시대,8.84,프랭키 첸
199,블랙북,8.84,폴 버호벤
200,베일리 어게인,9.54,라세 할스트롬
201,나 홀로 집에,9.43,크리스 콜럼버스
202,알라딘,9.38,가이 리치
203,나 홀로 집에 2 - 뉴욕을 헤매다,9.35,크리스 콜럼버스
204,해리 포터와 죽음의 성물 - 2부,9.33,데이빗 예이츠
205,에이트 빌로우,9.26,프랭크 마샬
206,미이라,9.22,스티븐 소머즈
207,빠삐용,9.22,프랭클린 J. 샤프너
208,쥬만지,9.21,조 존스톤
209,블러드 다이아몬드,9.14,에드워드 즈윅
210,버킷리스트: 죽기 전에 꼭 하고 싶은 것들,9.09,로브 라이너
211,인디아나 존스 - 최후의 성전,9.05,스티븐 스필버그
212,구니스,9.04,리처드 도너
213,볼트,9.04,바이론 하워드
214,진용,9.02,정소동
215,인디아나 존스,9.02,스티븐 스필버그
216,곰돌이 푸 다시 만나 행복해,8.98,마크 포스터
217,본 슈프리머시,8.97,폴 그린그래스
218,킹콩,8.97,피터 잭슨
219,스노우 워커,8.96,찰스 마틴 스미스
220,레이더스,8.89,스티븐 스필버그
221,콜 오브 와일드,8.88,크리스 샌더스
222,미이라 2,8.87,스티븐 소머즈
223,라이프 오브 파이,8.87,이안
224,극장판 포켓몬스터 너로 정했다!,8.84,유야마 쿠니히코
225,미션 임파서블 3,8.83,J.J. 에이브럼스
226,극장판 원피스 스탬피드,8.77,오츠카 타카시
227,월터의 상상은 현실이 된다,8.74,벤 스틸러
228,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,8.72,유야마 쿠니히코
229,극장판 도라에몽: 진구의 마계 대모험 7인의 마법사,8.65,테라모토 유키요
230,괴물,8.64,봉준호
231,더 폴: 오디어스와 환상의 문,8.55,타셈 싱
232,트래쉬,8.53,스티븐 달드리
233,옥자,8.46,봉준호
234,정글북,8.44,존 파브로
235,워터월드,8.42,케빈 레이놀즈
236,마션,8.42,리들리 스콧
237,에놀라 홈즈,8.42,해리 브래드비어
238,노스페이스,8.4,필립 슈톨츨
239,프리즌 이스케이프,8.34,프란시스 아난
240,로드 투 퍼디션,8.28,샘 멘데스
241,해적: 바다로 간 산적,8.27,이석훈
242,라이온 킹,8.27,존 파브로
243,거울나라의 앨리스,8.26,제임스 보빈
244,벤허,8.25,티무르 베크맘베토브
245,피터와 드래곤,8.25,데이빗 로워리
246,벼랑 위의 포뇨,8.23,미야자키 하야오
247,허비 - 첫 시동을 걸다,8.22,안젤라 로빈슨
248,워터호스,8.19,제이 러셀
249,127 시간,8.17,대니 보일
250,올빼미,9.36,안태진
251,저수지 게임,9.1,최진성
252,미져리,9.02,로브 라이너
253,하녀,8.93,김기영
254,김복남 살인사건의 전말,8.77,장철수
255,모리타니안,8.71,캐빈 맥도널드
256,조커,8.66,토드 필립스
257,범죄의 여왕,8.61,이요섭
258,배드 지니어스,8.6,나타우트 폰피리야
259,프레스티지,8.58,크리스토퍼 놀란
260,올가미,8.56,김성홍
261,레드 스패로,8.54,프란시스 로렌스
262,몽타주,8.54,정근섭
263,분노,8.53,이상일
264,더 스파이,8.51,도미닉 쿡
265,닥터 슬립,8.38,마이크 플래너건
266,리턴,8.36,이규만
267,해피 엔드,8.36,정지우
268,폴: 600미터,8.31,스콧 만
269,나를 찾아줘,8.3,데이빗 핀처
270,더 테러 라이브,8.29,김병우
271,더 재킷,8.28,존 메이버리
272,제로 다크 서티,8.24,캐스린 비글로우
273,노인을 위한 나라는 없다,8.23,에단 코엔
274,팅커 테일러 솔저 스파이,8.21,토마스 알프레드슨
275,랜섬,8.2,론 하워드
276,작전명 발키리,8.18,브라이언 싱어
277,무언의 목격자,8.18,안소니 월러
278,롱 키스 굿나잇,8.18,레니 할린
279,콰이어트 플레이스 2,8.14,존 크래신스키
280,트위스터,8.14,쟝 드봉
281,블라인드 멜로디,8.13,스리람 라그하반
282,아나콘다,8.13,루이스 로사
283,퍼펙트 스톰,8.13,볼프강 페터젠
284,프리즈너스,8.12,드니 빌뇌브
285,딥 라이징,8.11,스티븐 소머즈
286,아웃브레이크,8.1,볼프강 페터젠
287,밀레니엄 : 여자를 증오한 남자들,8.09,데이빗 핀처
288,블라인드,8.08,안상훈
289,썸 오브 올 피어스,8.08,필 알덴 로빈슨
290,인썸니아,8.05,크리스토퍼 놀란
291,히든 페이스,8.05,안드레스 바이즈
292,프리즈 프레임,8.03,존 심슨
293,섹스 마네킹,8.02,로버트 파리기
294,머시니스트,8,브래드 앤더슨
295,덫: 치명적인 유혹,8,봉만대
296,존 윅,7.98,데이빗 레이치
297,함정,7.95,마크 펠링톤
298,본 콜렉터,7.95,필립 노이스
299,거미숲,7.95,송일곤
300,달콤한 인생,8.83,김지운
301,18 : 우리들의 성장 느와르,8.3,한윤선
302,하이힐,7.78,장진
303,사생결단,7.43,최호
304,창수,7.12,이덕희
305,친구2,6.2,곽경택
306,런던 블러바드,5.89,윌리엄 모나한
307,미옥,4.96,이안규
308,깡치,3.69,연정모
309,얼굴없는 보스,3.23,송창용
310,할머니의 먼 집,9.62,이소현
311,밥정,9.6,박혜령
312,주전장,9.46,미키 데자키
313,사이버 지옥: N번방을 무너뜨려라,9.42,최진성
314,가나의 혼인잔치: 언약,9.39,브렌트 밀러 주니어
315,다시 태어나도 우리,9.36,문창용
316,울지마 톤즈,9.35,구수환
317,교회오빠,9.32,이호경
318,폴란드로 간 아이들,9.31,추상미
319,브레이크 더 사일런스: 더 무비,9.3,박준수
320,자백,9.28,최승호
321,더 코브: 슬픈 돌고래의 진실,9.27,루이 시호요스
322,퀸 락 몬트리올,9.27,솔 스위머
323,마이클 잭슨의 디스 이즈 잇,9.26,케니 오테가
324,브링 더 소울 : 더 무비,9.25,박준수
325,부활: 그 증거,9.24,김상철
326,땐뽀걸즈,9.24,이승문
327,트루맛쇼,9.24,김재환
328,"님아, 그 강을 건너지 마오",9.24,진모영
329,잉여들의 히치하이킹,9.23,이호재
330,뚜르: 내 생애 최고의 49일,9.21,임정하
331,슈퍼소닉,9.21,맷 화이트크로스
332,"서서평, 천천히 평온하게",9.2,홍주연
333,너에게 가는 길,9.19,변규리
334,칠곡 가시나들,9.18,김재환
335,트와이스랜드,9.17,나연(본인)
336,식코,9.16,마이클 무어
337,비상,9.14,임유철
338,트윈스터즈,9.13,사만다 푸터먼
339,전투왕,9.11,이상호
340,피아니스트 세이모어의 뉴욕 소네트,9.09,에단 호크
341,피의 연대기,9.09,김보람
342,공범자들,9.08,최승호
343,젝스키스 에이틴,9.07,은지원
344,댄서,9.06,스티븐 캔터
345,"제자, 옥한흠",9.05,김상철
346,나는 고양이로소이다,9.04,조은성
347,타샤 튜더,9.03,마츠타니 미츠에
348,서칭 포 슈가맨,9.03,말릭 벤젤룰
349,인생 후르츠,9.03,후시하라 켄시
350,고양이 춤,9.02,윤기형
351,빅뱅 메이드,9.02,변진호
352,인사이드 잡,9.02,찰스 퍼거슨
353,말하는 건축가,9.01,정재은
354,김정일리아,8.97,NC 헤이킨
355,우리 학교,8.96,김명준
356,"그날, 바다",8.94,김지영
357,우린 액션배우다,8.93,정병길
358,노무현입니다,8.92,이창재
359,태양 아래,8.9,비탈리 만스키
360,서유기 2 - 선리기연,9.37,유진위
361,트루먼 쇼,9.35,피터 위어
362,세 얼간이,9.35,라지쿠마르 히라니
363,미세스 다웃파이어,9.35,크리스 콜럼버스
364,언터처블: 1%의 우정,9.33,올리비에르 나카체
365,모던 타임즈,9.32,찰리 채플린
366,라따뚜이,9.31,브래드 버드
367,엽기적인 그녀,9.3,곽재용
368,로마의 휴일,9.27,윌리엄 와일러
369,패밀리 맨,9.26,브렛 래트너
370,시스터 액트,9.25,에밀 아돌리노
371,위대한 독재자,9.22,찰리 채플린
372,빅,9.21,페니 마샬
373,서유기 - 월광보합,9.21,유진위
374,스팅,9.21,조지 로이 힐
375,스쿨 오브 락,9.21,리처드 링클레이터
376,라디오 스타,9.2,이준익
377,과속스캔들,9.2,강형철
378,마틸다,9.17,대니 드비토
379,마스크,9.15,척 러셀
380,조조 래빗,9.15,타이카 와이티티
381,패딩턴 2,9.14,폴 킹
382,쉘 위 댄스,9.14,수오 마사유키
383,혐오스런 마츠코의 일생,9.14,나카시마 테츠야
384,즐거운 인생,9.14,이준익
385,취권,9.13,원화평
386,클릭,9.13,프랭크 코라치
387,아는 여자,9.12,장진
388,써니,9.11,강형철
389,우드잡,9.11,야구치 시노부
390,시스터 액트 2,9.09,빌 듀크
391,패치 아담스,9.09,톰 새디악
392,피케이: 별에서 온 얼간이,9.07,라지쿠마르 히라니
393,내 깡패 같은 애인,9.06,김광식
394,바그다드 카페 : 디렉터스컷,9.06,퍼시 애들론
395,경찰서를 털어라,9.05,레스 메이필드
396,브루스 올마이티,9.05,톰 새디악
397,"알로, 슈티",9.04,대니 분
398,결혼 이야기,9.03,노아 바움백
399,영구와 땡칠이,9.02,남기남
400,선생 김봉두,9.01,장규성
401,인턴,9,낸시 마이어스
402,수상한 그녀,9,황동혁
403,터미널,8.98,스티븐 스필버그
404,울학교 이티,8.98,박광춘
405,록 스탁 앤 투 스모킹 배럴즈,8.97,가이 리치
406,불가사리,8.96,론 언더우드
407,그것만이 내 세상,8.96,최성현
408,미스 리틀 선샤인,8.95,조나단 데이턴
409,스윙걸즈,8.94,야구치 시노부
410,안녕 베일리,9.37,게일 맨쿠소
411,프리 윌리,9.34,사이먼 윈서
412,메리 포핀스,9.3,로버트 스티븐슨
413,리멤버 타이탄,9.24,보아즈 야킨
414,아름다운 비행,9.24,캐롤 발라드
415,후크,9.13,스티븐 스필버그
416,짱구는 못말려 극장판: 태풍을 부르는 노래하는 엉덩이 폭탄!,9.12,무토 유지
417,오즈의 마법사,9.11,빅터 플레밍
418,피터팬,9.11,P.J. 호건
419,하치 이야기,9.1,코야마 세이지로
420,하치 이야기,9.06,코야마 세이지로
421,카,8.98,존 라세터
422,마음이...,8.96,박은형
423,덤보,8.93,팀 버튼
424,투 브라더스,8.92,장 자크 아노
425,우리는 동물원을 샀다,8.87,카메론 크로우
426,하늘이 보내준 딸,8.66,A.L. 비자이
427,걸어도 걸어도,8.63,고레에다 히로카즈
428,날아라 허동구,8.63,박규태
429,해피 피트,8.61,조지 밀러
430,우리 개 이야기,8.57,이누도 잇신
431,마음이 2,8.57,이정철
432,동경가족,8.42,야마다 요지
433,프린세스 다이어리,8.03,게리 마샬
434,리지 맥과이어,8.02,짐 펄
435,춘몽,7.95,장률
