id,Movie Name,Naver Star,Director
625,무간도 3 - 종극무간,8.96,유위강
626,신세계,8.94,박훈정
627,스카페이스,8.91,브라이언 드 팔마
628,프라이멀 피어,8.87,그레고리 호블릿
629,프라미싱 영 우먼,8.86,에머랄드 펜넬
630,트레인스포팅,8.85,대니 보일
631,LA 컨피덴셜,8.84,커티스 핸슨
632,시티 오브 갓,8.84,페르난도 메이렐레스
633,슬럼독 밀리어네어,8.82,대니 보일
634,메멘토,8.81,크리스토퍼 놀란
635,바람의 소리,8.8,진국부
636,비열한 거리,8.79,유하
637,범죄의 재구성,8.79,최동훈
638,펄프 픽션,8.76,쿠엔틴 타란티노
639,리플리,8.73,안소니 밍겔라
640,아이리시맨,8.72,마틴 스코세이지
641,부당거래,8.7,류승완
642,보이 A,8.68,존 크로울리
643,몬스터,8.67,패티 젠킨스
644,용의자 X의 헌신,8.67,니시타니 히로시
645,유주얼 서스펙트,8.67,브라이언 싱어
646,하이 스쿨 뮤지컬: 졸업반,9.25,케니 오테가
647,사랑은 비를 타고,9.23,진 켈리
648,인생은 아름다워,9.22,최국희
649,물랑 루즈,9.04,바즈 루어만
650,씽,8.98,가스 제닝스
651,시카고,8.98,롭 마샬
652,맘마미아!2,8.97,올 파커
653,헤어스프레이,8.31,아담 쉥크만
654,딥,8.05,줄리오 소토 거피드
655,삼거리 극장,8.05,전계수
656,어크로스 더 유니버스,7.89,줄리 테이머
657,인 더 하이츠,7.83,존 추
658,락 오브 에이지,7.55,아담 쉥크만
659,디어 에반 핸슨,7.48,스티븐 크보스키
660,페임,7.03,케빈 탄차로엔
661,나인,6.74,롭 마샬
662,퍼햅스 러브,6.52,진가신
663,구미호 가족,5.54,이형곤
664,캣츠,4.51,톰 후퍼
665,아바타 리마스터링,9.48,제임스 카메론
666,터미네이터 2:오리지널,9.45,제임스 카메론
667,빽 투 더 퓨쳐,9.42,로버트 저메키스
668,매트릭스,9.4,릴리 워쇼스키
669,에이리언 2,9.35,제임스 카메론
670,에이 아이,9.32,스티븐 스필버그
671,쥬라기 공원,9.31,스티븐 스필버그
672,바이센테니얼 맨,9.3,크리스 콜럼버스
673,가타카,9.27,앤드류 니콜
674,터미네이터,9.26,제임스 카메론
675,로보캅,9.25,폴 버호벤
676,마이너리티 리포트,9.23,스티븐 스필버그
677,이티,9.23,스티븐 스필버그
678,빽 투 더 퓨쳐 2,9.22,로버트 저메키스
679,콘택트,9.22,로버트 저메키스
680,혹성탈출,9.2,프랭클린 J. 샤프너
681,빽 투 더 퓨쳐 3,9.12,로버트 저메키스
682,인터스텔라,9.11,크리스토퍼 놀란
683,스타워즈 에피소드 3 - 시스의 복수,9.11,조지 루카스
684,보물성,9.1,론 클레멘츠
685,스타워즈 에피소드 5 - 제국의 역습,9.09,어빈 케쉬너
686,아바타,9.08,제임스 카메론
687,아마겟돈,9.05,마이클 베이
688,엑스맨: 퍼스트 클래스,9.04,매튜 본
689,케이 팩스,9.03,이안 소프틀리
690,스타쉽 트루퍼스,9.01,폴 버호벤
691,스타워즈 에피소드 4 - 새로운 희망,9.01,조지 루카스
692,스타워즈 에피소드 6 - 제다이의 귀환,9,리차드 마퀀드
693,디스트릭트 9,8.98,닐 블롬캠프
694,아이언맨,8.93,존 파브로
695,엑스맨: 데이즈 오브 퓨처 패스트,8.88,브라이언 싱어
696,아이언맨 3,8.86,셰인 블랙
697,트랜스포머,8.85,마이클 베이
698,토탈 리콜,8.84,폴 버호벤
699,지구를 지켜라!,8.84,장준환
700,매트릭스 2 - 리로디드,8.83,릴리 워쇼스키
701,12 몽키즈,8.82,테리 길리암
702,아일랜드,8.81,마이클 베이
703,"아이, 로봇",8.78,알렉스 프로야스
704,딥 임팩트,8.76,미미 레더
705,블레이드 러너,8.73,리들리 스콧
706,공각기동대,8.7,오시이 마모루
707,13 구역,8.7,피에르 모렐
708,스타 트렉: 더 비기닝,8.7,J.J. 에이브럼스
709,맨 인 블랙,8.68,베리 소넨필드
710,레지던트 이블,8.68,폴 앤더슨
711,매트릭스 3 - 레볼루션,8.65,릴리 워쇼스키
712,더 문,8.48,던칸 존스
713,다크 시티,8.45,알렉스 프로야스
714,터미네이터: 다크 페이트,8.42,팀 밀러
715,탑건: 매버릭,9.76,조셉 코신스키
716,포드 V 페라리,9.47,제임스 맨골드
717,글래디에이터,9.41,리들리 스콧
718,태극권,9.4,원화평
719,헌터 킬러,9.39,도노반 마시
720,어벤져스: 엔드게임,9.38,안소니 루소
721,클레멘타인,9.38,김두영
722,잭 스나이더의 저스티스 리그,9.37,잭 스나이더
723,더 록,9.35,마이클 베이
724,다크 나이트,9.34,크리스토퍼 놀란
725,폴리스 스토리,9.31,성룡
726,다이 하드,9.31,존 맥티어난
727,보디가드,9.3,원규
728,동방불패,9.29,정소동
729,영웅: 샐러멘더의 비밀,9.29,알렉산드르 야킴추크
730,취권 2,9.27,유가량
731,RRR: 라이즈 로어 리볼트,9.27,SS 라자몰리
732,브레이브하트,9.26,멜 깁슨
733,본 얼티메이텀,9.25,폴 그린그래스
734,해바라기,9.25,강석범
735,아저씨,9.25,이정범
736,인셉션,9.24,크리스토퍼 놀란
737,크림슨 타이드,9.23,토니 스콧
738,백발마녀전,9.23,우인태
739,엽문,9.22,엽위신
740,페이스 오프,9.22,오우삼
741,테이큰,9.21,피에르 모렐
742,프레데터,9.21,존 맥티어난
743,천장지구,9.2,진목승
744,네고시에이터,9.19,F. 게리 그레이
745,영웅본색,9.18,오우삼
746,에너미 오브 스테이트,9.15,토니 스콧
747,범죄도시,9.14,강윤성
748,도망자,9.14,앤드루 데이비스
749,스트레인저 - 무황인담,9.13,안도 마사히로
750,스피드,9.12,쟝 드봉
751,미션 임파서블: 폴아웃,9.12,크리스토퍼 맥쿼리
752,분노의 질주: 더 세븐,9.11,제임스 완
753,노킹 온 헤븐스 도어,9.11,토머스 얀
754,클리프행어,9.11,레니 할린
755,7인의 사무라이,9.1,구로사와 아키라
756,콘 에어,9.1,사이먼 웨스트
757,투캅스 3,9.09,김상진
758,정무문,9.09,나유
759,첩혈쌍웅,9.09,오우삼
760,로건,9.07,제임스 맨골드
761,이연걸의 정무문,9.07,진가상
762,록키 2,9.07,실베스터 스탤론
763,업그레이드,9.06,리 워넬
764,배트맨 2,9.06,팀 버튼
