,Movie Name,Eng Name,Country,Time Line,Opening Date,Naver Star,Director,R rated,Actors
27,두 교황,The Two Popes,"미국, 영국, 이탈리아, 아르헨티나",126분,2019.12.11 개봉,9.34,페르난도 메이렐레스,12세 관람가,"안소니 홉킨스, 조나단 프라이스, 후안 미누진, 시드니 콜, None, nan, nan, nan, nan"
28,아이 엠 샘,I Am Sam,미국,132분,2002.10.18 개봉,9.33,제시 넬슨,12세 관람가,"숀 펜, 미셸 파이퍼, 다이앤 위스트, 다코타 패닝, 리차드 쉬프, nan, nan, nan, nan"
29,그대를 사랑합니다,I Love You,대한민국,118분,2011.02.17 개봉,9.33,추창민,15세 관람가,"이순재, 윤소정, 송재호, 김수미, 오달수, nan, nan, nan, nan"
30,빌리 엘리어트,Billy Elliot,"영국, 프랑스",110분,"2017.01.18 재개봉,  2001.02.17 개봉",9.33,스티븐 달드리,12세 관람가,"제이미 벨, 줄리 월터스, 게리 루이스, 제이미 드레이븐, 진 헤이우드, nan, nan, nan, nan"
31,피아니스트,The Pianist,"프랑스, 독일, 폴란드, 영국, 네덜란드",148분,"2015.06.18 재개봉,  2003.01.03 개봉",9.33,로만 폴란스키,12세 관람가,"애드리언 브로디, 토마스 크레취만, 프랭크 핀레이, 모린 립먼, 에밀리아 폭스, nan, nan, nan, nan"
32,시네마 천국,Cinema Paradiso,"프랑스, 이탈리아",124분,"2020.04.22 재개봉, 2013.09.26 재개봉, 1993.11.13 재개봉,  1990.07.07 개봉",9.33,쥬세페 토르나토레,전체 관람가,"마르코 레오나르디, 필립 느와레, 자끄 페렝, 살바토레 카스치오, 브리지트 포시, nan, nan, nan, nan"
33,소원,HOPE,대한민국,122분,2013.10.02 개봉,9.33,이준익,12세 관람가,"설경구, 엄지원, 이레, 김해숙, 김상호, nan, nan, nan, nan"
34,우리들의 일그러진 영웅,Our Twisted Hero,대한민국,119분,1992.08.15 개봉,9.32,박종원,전체 관람가,"홍경인, 고정일, 최민식, 태민영, 이진선, nan, nan, nan, nan"
35,블라인드 사이드,The Blind Side,미국,128분,2010.04.15 개봉,9.32,존 리 행콕,12세 관람가,"산드라 블록, 팀 맥그로, 제이 헤드, 퀸튼 아론, 릴리 콜린스, nan, nan, nan, nan"
36,패왕별희 디 오리지널,Farewell My Concubine,"중국, 홍콩",171분,"2021.03.31 재개봉, 2020.05.01 재개봉, 2017.03.30 재개봉,  1993.12.24 개봉",9.32,천카이거,15세 관람가,"장국영, 공리, 장풍의, 지앙 웬리, 갈우, nan, nan, nan, nan"
37,코러스,Les Choristes,"프랑스, 스위스, 독일",97분,"2010.10.29 재개봉,  2005.03.03 개봉",9.32,크리스토퍼 파라티에,전체 관람가,"제라르 쥐노, 프랑수와 벨레앙, 장 밥티스트 모니에, 자끄 페렝, 카드 므라드, nan, nan, nan, nan"
38,뷰티풀 투모로우,Beautiful Tomorrow,대한민국,68분,2017.10.26 개봉,9.31,장재혁,12세 관람가,"박효신, 정재일, None, None, None, nan, nan, nan, nan"
39,8월의 크리스마스,Christmas In August,대한민국,97분,"2013.11.06 재개봉,  1998.01.24 개봉",9.31,허진호,15세 관람가,"한석규, 심은하, 신구, 오지혜, 이한위, nan, nan, nan, nan"
40,록키,Rocky,미국,120분,"2017.11.29 재개봉,  1977.06.11 개봉",9.31,존 G. 아빌드센,12세 관람가,"실베스터 스탤론, 탈리아 샤이어, 버트 영, 칼 웨더스, 버제스 메러디스, nan, nan, nan, nan"
41,일급 살인,Murder In The First,미국,122분,1995.03.18 개봉,9.3,마크 로코,15세 관람가,"크리스찬 슬레이터, 케빈 베이컨, 게리 올드만, 엠베스 데이비츠, 윌리암 H. 머시, nan, nan, nan, nan"
42,달링,Breathe,영국,118분,2018.04.12 개봉,9.3,앤디 서키스,12세 관람가,"앤드류 가필드, 클레어 포이, 톰 홀랜더, 휴 보네빌, 스테판 망간, nan, nan, nan, nan"
43,시월애,A Love Story,대한민국,94분,2000.09.09 개봉,9.29,이현승,12세 관람가,"이정재, 전지현, 김무생, 조승연, 민윤재, nan, nan, nan, nan"
44,인생,Lifetimes,"중국, 대만",132분,1995.05.27 개봉,9.29,장이머우,15세 관람가,"공리, 갈우, 강무, 곽도, None, nan, nan, nan, nan"
45,허스토리,Herstory,대한민국,121분,2018.06.27 개봉,9.29,민규동,12세 관람가,"김희애, 김해숙, 예수정, 문숙, 이용녀, nan, nan, nan, nan"
