,Movie Name,Eng Name,Country,Time Line,Opening Date,Naver Star,Director,R rated,Actors
113,나이트메어,A Nightmare On Elm Street,미국,91분,1985.03.23 개봉,8.56,웨스 크레이븐,청소년 관람불가,"존 색슨, 로니 블랙클리, 헤더 랜겐캠프, 아만다 위스, 주 가르시아, nan, nan, nan, nan"
114,렛 미 인,Lat Den Ratte Komma In,스웨덴,114분,"2015.12.03 재개봉,  2008.11.13 개봉",8.5,토마스 알프레드슨,15세 관람가,"카레 헤레브란트, 리나 레안데르손, 카린 베그퀴스트, 피터 칼버그, 이카 노드, nan, nan, nan, nan"
115,링,The Ring,일본,98분,1999.12.11 개봉,8.44,나카타 히데오,12세 관람가,"마츠시마 나나코, 나카타니 미키, 사나다 히로유키, 다케우치 유코, 사토 히토미, nan, nan, nan, nan"
116,새벽의 저주,Dawn Of The Dead,미국,100분,2004.05.14 개봉,8.4,잭 스나이더,청소년 관람불가,"사라 폴리, 빙 라메스, 제이크 웨버, 타이 버렐, 메키 파이퍼, nan, nan, nan, nan"
117,패컬티,The Faculty,미국,104분,1999.05.22 개봉,8.4,로버트 로드리게즈,청소년 관람불가,"조다나 브류스터, 클리어 듀발, 로라 해리스, 조쉬 하트넷, 숀 하토시, nan, nan, nan, nan"
118,오펀: 천사의 비밀,Orphan,"미국, 캐나다, 프랑스, 독일",123분,2009.08.20 개봉,8.37,자움 콜렛 세라,청소년 관람불가,"베라 파미가, 피터 사스가드, 이사벨 퍼만, CCH 파운더, 지미 베넷, nan, nan, nan, nan"
119,스크림,Scream,미국,111분,1999.01.16 개봉,8.36,웨스 크레이븐,청소년 관람불가,"데이빗 아퀘트, 니브 캠벨, 커트니 콕스, 매튜 릴라드, 스키트 울리치, nan, nan, nan, nan"
120,오멘,The Omen,미국,111분,1977.06.03 개봉,8.32,리처드 도너,청소년 관람불가,"그레고리 펙, 리 레믹, 데이비드 워너, 빌리 화이트로우, 패트릭 트로우톤, nan, nan, nan, nan"
121,쏘우 2,Saw II,미국,92분,2006.02.16 개봉,8.28,대런 린 보우즈만,청소년 관람불가,"토빈 벨, 쇼니 스미스, 도니 월버그, 에릭 넉슨, 프랭키 G, nan, nan, nan, nan"
122,데스티네이션,Final Destination,미국,97분,2000.06.10 개봉,8.27,제임스 왕,청소년 관람불가,"데본 사와, 알리 라터, 커 스미스, 크리스틴 크록, 숀 윌리엄 스코트, nan, nan, nan, nan"
123,여고괴담 두번째 이야기,Memento Mori,대한민국,98분,1999.12.24 개봉,8.23,김태용,12세 관람가,"김규리, 박예진, 이영진, 공효진, 김재인, nan, nan, nan, nan"
124,컨저링 2,The Conjuring,미국,134분,2016.06.09 개봉,8.22,제임스 완,15세 관람가,"베라 파미가, 패트릭 윌슨, 프란카 포텐테, 프란시스 오코너, 매디슨 울프, nan, nan, nan, nan"
125,팬도럼,Pandorum,"미국, 독일",108분,"2015.10.01 재개봉,  2009.10.22 개봉",8.22,크리스티앙 알바트,청소년 관람불가,"데니스 퀘이드, 벤 포스터, 캠 지갠뎃, 안체 트라우, 쿵 리, nan, nan, nan, nan"
126,본즈 앤 올,BONES AND ALL,미국,131분,2022.11.30 개봉,8.21,루카 구아다니노,청소년 관람불가,"테일러 러셀, 티모시 샬라메, 마크 라이런스, 클로에 세비니, None, nan, nan, nan, nan"
127,더 셀,The Cell,미국,107분,2000.10.28 개봉,8.1,타셈 싱,청소년 관람불가,"제니퍼 로페즈, 빈스 본, 빈센트 도노프리오, 마리안 장 밥티스트, 제이크 웨버, nan, nan, nan, nan"
128,시실리 2km,km,대한민국,109분,2004.08.13 개봉,8.1,신정원,15세 관람가,"임창정, 권오중, 임은경, 변희봉, 박명신, nan, nan, nan, nan"
129,이블 데드,The Evil Dead,미국,85분,1989.09.02 개봉,8.05,샘 레이미,청소년 관람불가,"브루스 캠벨, 엘렌 샌드웨이스, 리처드 드매닌코, 벳시 베이커, 테레사 틸리, nan, nan, nan, nan"
130,여고괴담,Whispering Corridors,대한민국,107분,1998.05.30 개봉,8.03,박기형,15세 관람가,"이미연, 박용수, 김규리, 최강희, 윤지혜, nan, nan, nan, nan"
131,매드니스,In The Mouth Of Madness,미국,95분,1995.03.18 개봉,8.03,존 카펜터,15세 관람가,"샘 닐, 줄리 카르멘, 위르겐 프로흐노, 데이비드 워너, 존 글로버, nan, nan, nan, nan"
132,데드 얼라이브,Braindead,뉴질랜드,85분,1996.08.14 개봉,7.99,피터 잭슨,청소년 관람불가,"티모시 밸미, 다이아나 페날베, 엘리자베스 무디, 이안 왓킨, 스투어트 데베니, nan, nan, nan, nan"
133,불신지옥,Possessed,대한민국,106분,2009.08.12 개봉,7.92,이용주,15세 관람가,"남상미, 류승룡, 김보연, 심은경, 문희경, nan, nan, nan, nan"
134,맨 인 더 다크,Dont Breathe,미국,88분,2016.10.05 개봉,7.92,페데 알바레즈,청소년 관람불가,"제인 레비, 딜런 미네트, 스티븐 랭, 다니엘 조바토, 세르게이 오놉코, nan, nan, nan, nan"
135,스켈리톤 키,The Skeleton Key,"미국, 독일",103분,2005.08.25 개봉,7.91,이언 소프트리,12세 관람가,"케이트 허드슨, 제나 로우랜즈, 피터 사스가드, 존 허트, 조이 브라이언트, nan, nan, nan, nan"
136,트라이앵글,Triangle,"영국, 오스트레일리아",99분,2018.08.29 개봉,7.91,크리스토퍼 스미스,15세 관람가,"멜리사 조지, 리암 헴스워스, 마이클 도어맨, 라차엘 카파니, 엠마 렁, nan, nan, nan, nan"
137,제인 도,The Autopsy of Jane Doe,"영국, 미국",86분,2017.08.23 개봉,7.88,안드레 외브레달,청소년 관람불가,"에밀 허쉬, 브라이언 콕스, 올웬 캐서린 켈리, 오필리아 로비본드, 마이클 맥엘하튼, nan, nan, nan, nan"
138,반교: 디텐션,Detention,대만,103분,2020.08.13 개봉,7.86,존 쉬,15세 관람가,"왕정, 증경화, 부맹백, 세실리아 최, 장본유, nan, nan, nan, nan"
139,하우스 오브 왁스,House Of Wax,"오스트레일리아, 미국",112분,2005.05.20 개봉,7.86,자움 콜렛 세라,청소년 관람불가,"엘리샤 커스버트, 채드 마이클 머레이, 브라이언 반 홀트, 패리스 힐튼, 제러드 파달렉키, nan, nan, nan, nan"
140,컨저링,The Conjuring,미국,112분,2013.09.17 개봉,7.85,제임스 완,15세 관람가,"베라 파미가, 패트릭 윌슨, 릴리 테일러, 론 리빙스턴, 조이 킹, nan, nan, nan, nan"
141,더 로드,Dead End,"프랑스, 미국",82분,2005.08.19 개봉,7.84,장-바티스트 안드레아,15세 관람가,"레이 와이즈, 알렉산드라 홀든, 린 샤예, 믹 케인, 빌리 아셔, nan, nan, nan, nan"
142,떼시스,Thesis,스페인,125분,1997.11.22 개봉,7.84,알레한드로 아메나바르,청소년 관람불가,"아나 토렌트, 펠레 마르티네즈, 에두아르도 노리에가, 사비에르 엘로리아가, 미구엘 피카조, nan, nan, nan, nan"
143,에이리언 2020,Pitch Black,"오스트레일리아, 미국",108분,2000.05.20 개봉,7.77,데이빗 토히,청소년 관람불가,"빈 디젤, 라다 미첼, 콜 하우저, 루이스 피츠 제랄드, 클라우디아 블랙, nan, nan, nan, nan"
144,1408,,미국,94분,2007.08.01 개봉,7.77,미카엘 하프스트롬,15세 관람가,"존 쿠삭, 사무엘 L. 잭슨, 메리 맥코막, 자스민 제시카 안소니, 알렉산드라 실버, nan, nan, nan, nan"
145,사일런트 힐,Silent Hill,"캐나다, 일본, 미국, 프랑스",124분,2006.11.09 개봉,7.71,크리스토프 갱스,청소년 관람불가,"라다 미첼, 로리 홀든, 숀 빈, 데보라 웅거, 타냐 알렌, nan, nan, nan, nan"
146,라스트 나잇 인 소호,Last Night in Soho,영국,117분,2021.12.01 개봉,7.7,에드가 라이트,청소년 관람불가,"토마신 맥켄지, 안야 테일러 조이, 맷 스미스, 리타 터싱햄, 테렌스 스탬프, nan, nan, nan, nan"
147,마마,Mama,"스페인, 캐나다",100분,2013.01.23 개봉,7.68,안드레스 무시에티,15세 관람가,"제시카 차스테인, 니콜라이 코스터-왈도, 메건 카펜티어, 이자벨 넬리스, 다니엘 캐쉬, nan, nan, nan, nan"
148,어느날 갑자기 세번째 이야기 - D-day,,대한민국,92분,2006.08.03 개봉,7.67,김은경,15세 관람가,"김리나, 이은성, 유호린, 허진용, 윤다경, nan, nan, nan, nan"
149,스테이크 랜드,Stake Land,미국,98분,2012.08.09 개봉,7.67,짐 미클,청소년 관람불가,"코너 파올로, 닉 다미시, 다니엘 해리스, 켈리 맥길리스, 보니 데니슨, nan, nan, nan, nan"
150,클래식,The Classic,대한민국,132분,2003.01.30 개봉,9.44,곽재용,12세 관람가,"손예진, 조승우, 조인성, 이기우, 서영희, nan, nan, nan, nan"
151,사운드 오브 뮤직,The Sound Of Music,미국,172분,"2017.02.02 재개봉, 2012.01.23 재개봉, 1995.09.30 재개봉, 1978.02.04 재개봉,  1969.10.29 개봉",9.42,로버트 와이즈,전체 관람가,"줄리 앤드류스, 크리스토퍼 플러머, 엘레노 파커, 리처드 헤이든, 페기 우드, nan, nan, nan, nan"
152,타이타닉,Titanic,미국,194분,"2018.02.01 재개봉, 2012.04.05 재개봉,  1998.02.20 개봉",9.41,제임스 카메론,15세 관람가,"레오나르도 디카프리오, 케이트 윈슬렛, 빌리 제인, 캐시 베이츠, 프란시스 피셔, nan, nan, nan, nan"
153,"지금, 만나러 갑니다",Be With You,일본,118분,"2018.04.19 재개봉,  2005.03.25 개봉",9.35,도이 노부히로,12세 관람가,"다케우치 유코, 나카무라 시도, 다케이 아카시, 히라오카 유타, 오오츠카 치히로, nan, nan, nan, nan"
154,로망,Romang,대한민국,112분,2019.04.03 개봉,9.34,이창근,전체 관람가,"이순재, 정영숙, 조한철, 배해선, 이예원, nan, nan, nan, nan"
155,플립,Flipped,미국,90분,"2021.04.21 재개봉,  2017.07.12 개봉",9.29,로브 라이너,12세 관람가,"매들린 캐롤, 캘런 맥오리피, 존 마호니, 안소니 에드워즈, 레베카 드 모네이, nan, nan, nan, nan"
156,소년시절의 너,Better Days,중국,135분,"2021.04.22 재개봉, 2021.02.10 재개봉,  2020.07.09 개봉",9.28,증국상,15세 관람가,"주동우, 이양천새, 윤방, 오월, 주 이, nan, nan, nan, nan"
157,말할 수 없는 비밀,Secret,대만,101분,"2015.05.07 재개봉,  2008.01.10 개봉",9.27,주걸륜,12세 관람가,"주걸륜, 계륜미, 황추생, 증개현, 소명명, nan, nan, nan, nan"
158,사랑과 영혼,Ghost,미국,127분,"2017.12.27 재개봉,  1990.11.24 개봉",9.22,제리 주커,15세 관람가,"패트릭 스웨이지, 데미 무어, 우피 골드버그, 토니 골드윈, 수잔 브레슬로, nan, nan, nan, nan"
159,첫 키스만 50번째,First Dates,미국,99분,"2017.06.22 재개봉,  2004.04.15 개봉",9.21,피터 시걸,15세 관람가,"아담 샌들러, 드류 베리모어, 롭 슈나이더, 루시아 스트러스, 숀 애스틴, nan, nan, nan, nan"
160,러브 앳,Mon inconnue,"프랑스, 벨기에",118분,2019.11.27 개봉,9.19,위고 젤랭,12세 관람가,"프랑수아 시빌, 조세핀 자피, 벤자민 라베른헤, 까밀리에 를르쉐, 아마우리 드 크레양쿠르, nan, nan, nan, nan"
161,어바웃 타임,About Time,영국,123분,2013.12.05 개봉,9.18,리차드 커티스,15세 관람가,"도널 글리슨, 레이첼 맥아담스, 빌 나이, 린제이 던칸, 리디아 윌슨, nan, nan, nan, nan"
162,사랑의 블랙홀,Groundhog Day,미국,101분,1993.12.04 개봉,9.17,해롤드 래미스,15세 관람가,"빌 머레이, 앤디 맥도웰, 크리스 엘리엇, 스티븐 토보로스키, 브라이언 도일 머레이, nan, nan, nan, nan"
163,러브 어페어,Love Affair,미국,108분,1995.03.11 개봉,9.15,글렌 고든 카슨,15세 관람가,"워렌 비티, 아네트 베닝, None, None, None, nan, nan, nan, nan"
164,첨밀밀,Comrades Almost A Love Story,홍콩,118분,1997.03.01 개봉,9.14,진가신,15세 관람가,"여명, 장만옥, 증지위, 크리스토퍼 도일, 아이린 수, nan, nan, nan, nan"
165,그해 여름,Once In A Summer,대한민국,121분,2006.11.30 개봉,9.13,조근식,12세 관람가,"이병헌, 수애, 오달수, 이세은, 정석용, nan, nan, nan, nan"
166,오직 그대만,Always,대한민국,105분,2011.10.20 개봉,9.13,송일곤,15세 관람가,"소지섭, 한효주, 강신일, 박철민, 윤종화, nan, nan, nan, nan"
167,이터널 선샤인,Eternal Sunshine Of The Spotless Mind,미국,107분,"2015.11.05 재개봉,  2005.11.10 개봉",9.12,미셸 공드리,15세 관람가,"짐 캐리, 케이트 윈슬렛, 커스틴 던스트, 마크 러팔로, 일라이저 우드, nan, nan, nan, nan"
168,파이란,Failan,대한민국,116분,"2021.11.18 재개봉,  2001.04.28 개봉",9.11,송해성,15세 관람가,"최민식, 장백지, 손병호, 공형진, 김지영, nan, nan, nan, nan"
169,노팅 힐,Notting Hill,영국,124분,"2019.04.17 재개봉,  1999.07.03 개봉",9.1,로저 미첼,12세 관람가,"줄리아 로버츠, 휴 그랜트, 휴 보네빌, 리스 이판, 엠마 챔버스, nan, nan, nan, nan"
170,너는 내 운명,Youre My Sunshine,대한민국,121분,2005.09.23 개봉,9.08,박진표,청소년 관람불가,"전도연, 황정민, 나문희, 정유석, 서주희, nan, nan, nan, nan"
171,이프 온리,If Only,"미국, 영국",96분,"2017.11.29 재개봉,  2004.10.29 개봉",9.07,길 정거,15세 관람가,"제니퍼 러브 휴잇, 폴 니콜스, 톰 윌킨슨, 루시 대븐포트, 다이아나 하드캐슬, nan, nan, nan, nan"
172,노트북,The Notebook,미국,123분,"2020.11.04 재개봉, 2016.10.19 재개봉,  2004.11.26 개봉",9.07,닉 카사베츠,15세 관람가,"라이언 고슬링, 레이첼 맥아담스, 제나 로우랜즈, 제임스 가너, 조안 알렌, nan, nan, nan, nan"
173,꽃다발 같은 사랑을 했다,We Made a Beautiful Bouquet,일본,123분,2021.07.14 개봉,9.06,도이 노부히로,12세 관람가,"아리무라 카스미, 스다 마사키, 키요하라 카야, 호소다 카나타, 칸 하나에, nan, nan, nan, nan"
174,당신이 잠든 사이에,While You Were Sleeping,미국,103분,1995.05.13 개봉,9.06,존 터틀타웁,<class 'str'>,"산드라 블록, 빌 풀만, 피터 갤러거, 피터 보일, 글리니스 존스, nan, nan, nan, nan"
175,더티 댄싱,Dirty Dancing,미국,100분,"2007.11.23 재개봉,  1988.01.01 개봉",9.03,에밀 아돌리노,15세 관람가,"패트릭 스웨이지, 제니퍼 그레이, 제리 오바치, 신시아 로즈, 켈리 비숍, nan, nan, nan, nan"
176,동감,Ditto,대한민국,111분,"2020.05.14 재개봉,  2000.05.27 개봉",9.02,김정권,12세 관람가,"김하늘, 유지태, 박용우, 하지원, 김민주, nan, nan, nan, nan"
177,성원,Fly Me To Polaris,홍콩,95분,2000.01.15 개봉,9.02,마초성,12세 관람가,"임현제, 장백지, 소영강, 증지위, 갈민휘, nan, nan, nan, nan"
178,블루 라군,The Blue Lagoon,미국,104분,1988.07.16 개봉,9.02,랜달 크레이저,청소년 관람불가,"브룩 쉴즈, 크리스토퍼 앳킨스, 레오 맥켄, 윌리엄 다니엘스, 엘바 조셉슨, nan, nan, nan, nan"
179,청설,Hear Me,대만,109분,"2018.11.08 재개봉,  2010.06.17 개봉",9.02,청펀펀,전체 관람가,"펑위옌, 진의함, 천옌시, 린메이슈, 나북안, nan, nan, nan, nan"
180,"그 시절, 우리가 좋아했던 소녀",You Are the Apple of My Eye,대만,107분,"2021.04.29 재개봉, 2016.12.22 재개봉,  2012.08.22 개봉",9.01,구파도,15세 관람가,"가진동, 천옌시, 오견, 학소문, 채창헌, nan, nan, nan, nan"
181,보디가드,The Bodyguard,홍콩,92분,1994.08.06 개봉,9.0,믹 잭슨,15세 관람가,"이연걸, 종려시, 정칙사, 예성, None, nan, nan, nan, nan"
182,연애소설,Lovers Concerto,대한민국,106분,2002.09.13 개봉,8.99,이한,12세 관람가,"차태현, 이은주, 손예진, 문근영, 사강, nan, nan, nan, nan"
183,마법에 걸린 사랑,Enchanted,미국,106분,2008.01.10 개봉,8.99,케빈 리마,전체 관람가,"줄리 앤드류스, 에이미 아담스, 패트릭 뎀시, 제임스 마스던, 티모시 스폴, nan, nan, nan, nan"
184,내 이야기!!,My Love Story,일본,105분,2018.04.12 개봉,8.99,카와이 하야토,12세 관람가,"스즈키 료헤이, 나가노 메이, 사카구치 켄타로, 스즈키 사와, 테라와키 야스후미, nan, nan, nan, nan"
185,번지 점프를 하다,Bungee Jumping Of Their Own,대한민국,101분,"2017.11.02 재개봉,  2001.02.03 개봉",8.98,김대승,15세 관람가,"이병헌, 이은주, 여현수, 홍수현, 전미선, nan, nan, nan, nan"
186,선물,Last Present,대한민국,110분,2001.03.24 개봉,8.97,오기환,15세 관람가,"이정재, 이영애, 권해효, 이무현, 공형진, nan, nan, nan, nan"
187,오버 더 레인보우,Over The Rainbow,대한민국,109분,2002.05.17 개봉,8.97,안진우,15세 관람가,"이정재, 장진영, 정찬, 엄지원, 이영주, nan, nan, nan, nan"
188,윤희에게,Moonlit Winter,대한민국,105분,2019.11.14 개봉,8.95,임대형,12세 관람가,"김희애, 김소혜, 성유빈, 나카무라 유코, 키노 하나, nan, nan, nan, nan"
189,"나는 내일, 어제의 너와 만난다",My tomorrow,일본,110분,2017.10.12 개봉,8.94,미키 타카히로,12세 관람가,"후쿠시 소우타, 고마츠 나나, 히가시데 마사히로, 야마다 유키, 키요하라 카야, nan, nan, nan, nan"
190,러브 액츄얼리,Love Actually,"영국, 미국",130분,"2021.12.23 재개봉, 2020.12.16 재개봉, 2019.12.18 재개봉, 2017.12.20 재개봉, 2015.12.17 재개봉, 2013.12.18 재개봉,  2003.12.05 개봉",8.92,리차드 커티스,15세 관람가,"휴 그랜트, 리암 니슨, 콜린 퍼스, 로라 리니, 엠마 톰슨, nan, nan, nan, nan"
191,"다만, 널 사랑하고 있어",Heavenly Forest,일본,116분,2007.08.15 개봉,8.9,신조 타케히코,12세 관람가,"미야자키 아오이, 타마키 히로시, 아오키 무네타카, 코이데 케이스케, 쿠로키 메이사, nan, nan, nan, nan"
192,에버 애프터,Ever After,미국,121분,1999.01.16 개봉,8.9,앤디 테넌트,12세 관람가,"드류 베리모어, 안젤리카 휴스턴, 더그레이 스콧, 패트릭 갓프레이, 티모시 웨스트, nan, nan, nan, nan"
193,미드나잇 선,Midnight Sun,미국,92분,2018.06.21 개봉,8.9,스콧 스피어,12세 관람가,"벨라 손, 패트릭 슈왈제네거, 롭 리글, 퀸 쉐퍼드, 니콜라스 쿰베, nan, nan, nan, nan"
194,...ing,,대한민국,110분,2003.11.28 개봉,8.88,이언희,12세 관람가,"임수정, 김래원, 이미숙, 최덕문, 이성경, nan, nan, nan, nan"
195,비포 선라이즈,Before Sunrise,"오스트리아, 미국",100분,"2016.04.07 재개봉,  1996.03.30 개봉",8.86,리처드 링클레이터,15세 관람가,"에단 호크, 줄리 델피, 안드레아 에커트, 하노 포스클, 칼 브럭슈와이저, nan, nan, nan, nan"
196,내 머리 속의 지우개,A Moment To Remember,대한민국,117분,2004.11.05 개봉,8.85,이재한,12세 관람가,"정우성, 손예진, 백종학, 이선진, 박상규, nan, nan, nan, nan"
197,그 여자 작사 그 남자 작곡,MUSIC  LYRICS,미국,103분,"2017.11.16 재개봉,  2007.02.28 개봉",8.85,마크 로렌스,12세 관람가,"드류 베리모어, 휴 그랜트, 브래드 거렛, 헤일리 베넷, 크리스틴 존스턴, nan, nan, nan, nan"
198,나의 소녀시대,Our Times,대만,134분,"2020.08.19 재개봉,  2016.05.11 개봉",8.84,프랭키 첸,15세 관람가,"송운화, 왕대륙, 이옥새, 간정예, 유덕화, nan, nan, nan, nan"
199,블랙북,Zwartboek,"네덜란드, 영국, 독일",134분,2007.03.29 개봉,8.84,폴 버호벤,청소년 관람불가,"캐리스 밴 허슨, 세바스티안 코치, 돔 호프먼, 핼리너 레인, 크리스찬 버켈, nan, nan, nan, nan"
200,베일리 어게인,A Dogs Purpose,미국,100분,2018.11.22 개봉,9.54,라세 할스트롬,전체 관람가,"조시 게드, 데니스 퀘이드, K.J. 아파, 브라이스 게이사르, 브릿 로버트슨, nan, nan, nan, nan"
201,나 홀로 집에,Home Alone,미국,105분,1991.07.06 개봉,9.43,크리스 콜럼버스,전체 관람가,"맥컬리 컬킨, 조 페시, 다니엘 스턴, 존 허드, 로버츠 브로좀, nan, nan, nan, nan"
202,알라딘,Aladdin,미국,90분,1993.07.03 개봉,9.38,가이 리치,전체 관람가,"스콧 와인거, 로빈 윌리엄스, 린다 라킨, 조나단 프리먼, 프랭크 웰커, nan, nan, nan, nan"
203,나 홀로 집에 2 - 뉴욕을 헤매다,Home Alone  Lost In New York,미국,115분,1992.12.18 개봉,9.35,크리스 콜럼버스,전체 관람가,"맥컬리 컬킨, 조 페시, 다니엘 스턴, 존 허드, 캐서린 오하라, nan, nan, nan, nan"
204,해리 포터와 죽음의 성물 - 2부,Harry Potter And The Deathly Hallows Part,"영국, 미국",131분,2011.07.13 개봉,9.33,데이빗 예이츠,전체 관람가,"다니엘 래드클리프, 엠마 왓슨, 루퍼트 그린트, 보니 라이트, 랄프 파인즈, nan, nan, nan, nan"
205,에이트 빌로우,Eight Below,미국,120분,2006.04.06 개봉,9.26,프랭크 마샬,전체 관람가,"폴 워커, 브루스 그린우드, 문 블러드굿, 웬디 크로슨, 제이슨 빅스, nan, nan, nan, nan"
206,미이라,The Mummy,미국,120분,1999.07.10 개봉,9.22,스티븐 소머즈,12세 관람가,"브렌든 프레이저, 레이첼 와이즈, 존 한나, 아놀드 보슬로, 케빈 J. 오코너, nan, nan, nan, nan"
207,빠삐용,Papillon,"미국, 프랑스",150분,"2016.08.25 재개봉, 1990.09.29 재개봉,  1974 개봉",9.22,프랭클린 J. 샤프너,청소년 관람불가,"스티브 맥퀸, 더스틴 호프만, 빅터 조리, 돈 고돈, 안소니 저브, nan, nan, nan, nan"
208,쥬만지,Jumanji,미국,104분,1996.01.20 개봉,9.21,조 존스톤,전체 관람가,"로빈 윌리엄스, 커스틴 던스트, 데이빗 알란 그리어, 아담 한 바이어드, 보니 헌트, nan, nan, nan, nan"
209,블러드 다이아몬드,Blood Diamond,"미국, 독일",142분,2007.01.11 개봉,9.14,에드워드 즈윅,청소년 관람불가,"레오나르도 디카프리오, 제니퍼 코넬리, 디몬 하운수, 지미 미스트리, 마이클 쉰, nan, nan, nan, nan"
210,버킷리스트: 죽기 전에 꼭 하고 싶은 것들,The Bucket List,미국,97분,"2017.11.29 재개봉,  2008.04.09 개봉",9.09,로브 라이너,12세 관람가,"잭 니콜슨, 모건 프리먼, 션 헤이즈, 비버리 토드, 롭 모로우, nan, nan, nan, nan"
211,인디아나 존스 - 최후의 성전,Indiana Jones And The Last Crusade,미국,127분,1989.07.22 개봉,9.05,스티븐 스필버그,12세 관람가,"해리슨 포드, 덴홈 엘리어트, 앨리슨 두디, 존 라이스 데이비스, 줄리안 글로버, nan, nan, nan, nan"
212,구니스,The Goonies,미국,115분,1986.07.19 개봉,9.04,리처드 도너,전체 관람가,"숀 애스틴, 조슈 브롤린, 제프 코엔, 코리 펠드만, 케리 그린, nan, nan, nan, nan"
213,볼트,Bolt,미국,96분,2008.12.31 개봉,9.04,바이론 하워드,전체 관람가,"존 트라볼타, 마일리 사이러스, 수지 에스먼, 마크 월튼, 말콤 맥도웰, nan, nan, nan, nan"
214,진용,A TerraCotta Warrior,홍콩,97분,1990.12.15 개봉,9.02,정소동,12세 관람가,"장이머우, 공리, 우영광, None, None, nan, nan, nan, nan"
215,인디아나 존스,Indiana Jones And The Temple Of Doom,미국,118분,1985.05.08 개봉,9.02,스티븐 스필버그,12세 관람가,"해리슨 포드, 케이트 캡쇼, 키 호이 콴, None, None, nan, nan, nan, nan"
216,곰돌이 푸 다시 만나 행복해,Christopher Robin,미국,104분,2018.10.03 개봉,8.98,마크 포스터,전체 관람가,"이완 맥그리거, 헤일리 앳웰, 마크 게티스, 짐 커밍스, 닉 모하메드, nan, nan, nan, nan"
217,본 슈프리머시,The Bourne Supremacy,"미국, 독일",110분,2004.08.20 개봉,8.97,폴 그린그래스,15세 관람가,"맷 데이먼, 프란카 포텐테, 브라이언 콕스, 줄리아 스타일스, 칼 어번, nan, nan, nan, nan"
218,킹콩,King Kong,"뉴질랜드, 미국",186분,2005.12.14 개봉,8.97,피터 잭슨,15세 관람가,"나오미 왓츠, 잭 블랙, 애드리언 브로디, 앤디 서키스, 제이미 벨, nan, nan, nan, nan"
219,스노우 워커,The Snow Walker,캐나다,103분,2005.02.25 개봉,8.96,찰스 마틴 스미스,전체 관람가,"배리 페퍼, 아나벨라 피가턱, 제임스 크롬웰, 키얼스턴 워렌, 존 그리스, nan, nan, nan, nan"
220,레이더스,Raiders Of The Lost Ark,미국,115분,1982.02.27 개봉,8.89,스티븐 스필버그,12세 관람가,"해리슨 포드, 카렌 알렌, 폴 프리먼, 로널드 레이시, 존 라이스 데이비스, nan, nan, nan, nan"
221,콜 오브 와일드,The Call of the Wild,미국,100분,2020.05.14 개봉,8.88,크리스 샌더스,12세 관람가,"해리슨 포드, 오마 사이, 카렌 길런, 카라 지, 댄 스티븐스, nan, nan, nan, nan"
222,미이라 2,The Mummy Returns,미국,133분,2001.06.16 개봉,8.87,스티븐 소머즈,12세 관람가,"브렌든 프레이저, 레이첼 와이즈, 존 한나, 아놀드 보슬로, 오데드 페르, nan, nan, nan, nan"
223,라이프 오브 파이,Life of Pi,미국,127분,"2018.04.12 재개봉,  2013.01.01 개봉",8.87,이안,전체 관람가,"수라즈 샤르마, 이르판 칸, 라프 스팰, 아딜 후세인, 타부, nan, nan, nan, nan"
224,극장판 포켓몬스터 너로 정했다!,Pokemon the movie I Choose You,일본,98분,2017.12.21 개봉,8.84,유야마 쿠니히코,전체 관람가,"마츠모토 리카, 오오타니 이쿠에, 이시즈카 운쇼, 하야시바라 메구미, 미키 신이치로, nan, nan, nan, nan"
225,미션 임파서블 3,Mission Impossible III,미국,124분,2006.05.03 개봉,8.83,J.J. 에이브럼스,15세 관람가,"톰 크루즈, 필립 세이모어 호프만, 빙 라메스, 빌리 크루덥, 미셸 모나한, nan, nan, nan, nan"
226,극장판 원피스 스탬피드,ONE PIECE STAMPEDE,일본,101분,2020.02.13 개봉,8.77,오츠카 타카시,전체 관람가,"타나카 마유미, 나카이 카즈야, 오카무라 아케미, 야마구치 캇페이, 히라타 히로아키, nan, nan, nan, nan"
227,월터의 상상은 현실이 된다,The Secret Life of Walter Mitty,미국,114분,"2017.12.27 재개봉,  2013.12.31 개봉",8.74,벤 스틸러,12세 관람가,"벤 스틸러, 크리스틴 위그, 숀 펜, 셜리 맥클레인, 아담 스콧, nan, nan, nan, nan"
228,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,XYZ,일본,95분,2016.12.22 개봉,8.72,유야마 쿠니히코,전체 관람가,"이장원, 테라사키 유카, 이선호, 오오타니 이쿠에, 김현지, nan, nan, nan, nan"
229,극장판 도라에몽: 진구의 마계 대모험 7인의 마법사,,일본,115분,2008.07.17 개봉,8.65,테라모토 유키요,전체 관람가,"미즈타 와사비, 오오하라 메구미, 카카즈 유미, 키무라 스바루, 세키 토모카즈, nan, nan, nan, nan"
230,괴물,The Host,대한민국,119분,2006.07.27 개봉,8.64,봉준호,12세 관람가,"송강호, 변희봉, 박해일, 배두나, 고아성, nan, nan, nan, nan"
231,더 폴: 오디어스와 환상의 문,The Fall,"인도, 영국, 미국",117분,2008.12.04 개봉,8.55,타셈 싱,12세 관람가,"리 페이스, 카틴카 언타루, 저스틴 와델, 줄리안 블리치, 레오 빌, nan, nan, nan, nan"
