id,Movie Name,Eng Name,Genre
568,극장판 짱구는 못말려: 격돌! 낙서왕국과 얼추 네 명의 용사들,Crayon Shinchan Crash Scribble Kingdom and Almost Four Heroes,애니메이션
569,소울,Soul,애니메이션
570,바람계곡의 나우시카,Nausicaa Of The Valley Of Wind,애니메이션
571,몬스터 주식회사 3D,Monsters,애니메이션
572,극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,Crayon Shinchan School Mystery The Splendid Tenkasu Academy,애니메이션
573,뽀로로 극장판 보물섬 대모험,Treasure Island Adventure,애니메이션
574,라이온 킹,The Lion King,애니메이션
575,타잔,Tarzan,애니메이션
576,명탐정 코난: 베이커가의 망령,Detective Conan The Phantom of Baker Street,애니메이션
577,극장판 귀멸의 칼날: 무한열차편,Demon Slayer Kimetsu no Yaiba the Movie  Mugen Train,애니메이션
578,이웃집 토토로,My Neighbor Totoro,애니메이션
579,드래곤 길들이기 3,How to Train Your Dragon The Hidden World,애니메이션
580,토이 스토리 2,Toy Story,애니메이션
581,동급생,Doukyusei,애니메이션
582,인크레더블,The Incredibles,애니메이션
583,스피릿,Spirit Stallion Of The Cimarron,애니메이션
584,갓파 쿠와 여름방학을,Summer Days With Coo,애니메이션
585,미녀와 야수,Beauty And The Beast,애니메이션
586,프린스 앤 프린세스,Princes And Princesses,애니메이션
587,크루즈 패밀리,The Croods,애니메이션
588,명탐정 코난: 천공의 난파선,Detective Conan The Lost Ship In The Sky,애니메이션
589,극장판 헬로카봇 : 백악기 시대,Hello Carbot the Movie The Cretaceous Period,애니메이션
590,고 녀석 맛나겠다,You Are So Yummy,애니메이션
591,극장판 주술회전 0,Jujutsu Kaisen Zero,애니메이션
592,레드슈즈,Red Shoes,애니메이션
593,인크레더블 2,Incredibles,애니메이션
594,러빙 빈센트,Loving Vincent,애니메이션
595,보루토 - 나루토 더 무비,NARUTO THE MOVIE,애니메이션
596,살인의 추억,Memories Of Murder,범죄
597,레옹,Leon,범죄
598,범죄도시2,the roundup,범죄
599,프리퀀시,Frequency,범죄
600,그랜 토리노,Gran Torino,범죄
601,대부 2,Mario Puzos The Godfather Part II,범죄
602,그린 마일,The Green Mile,범죄
603,칼리토,Carlitos Way,범죄
604,캐치 미 이프 유 캔,Catch Me If You Can,범죄
605,타짜,The War Of Flower,범죄
606,대부 3,Mario Puzos The Godfather Part III,범죄
607,공공의 적,Public Enemy,범죄
608,아메리칸 히스토리 X,American History X,범죄
609,태양은 가득히,Plein Soleil,범죄
610,어 퓨 굿 맨,A Few Good Men,범죄
611,JFK,JFK,범죄
612,대부,Mario Puzos The Godfather,범죄
613,히트,Heat,범죄
614,무간도,Infernal Affairs,범죄
615,추격자,The Chaser,범죄
616,세븐 데이즈,Seven Days,범죄
617,내부자들: 디 오리지널,Inside Men The Original,범죄
618,도니 브래스코,Donnie Brasco,범죄
619,호텔 뭄바이,Hotel Mumbai,범죄
620,양들의 침묵,The Silence Of The Lambs,범죄
621,끝까지 간다,A Hard Day,범죄
622,내부자들,Inside Men,범죄
623,종횡사해,Once A Thief,범죄
624,인비저블 게스트,Contratiempo,범죄
625,무간도 3 - 종극무간,Infernal Affairs,범죄
626,신세계,New World,범죄
627,스카페이스,Scarface,범죄
628,프라이멀 피어,Primal Fear,범죄
629,프라미싱 영 우먼,Promising Young Woman,범죄
630,트레인스포팅,Trainspotting,범죄
631,LA 컨피덴셜,LA Confidential,범죄
632,시티 오브 갓,Cidade De Deus,범죄
633,슬럼독 밀리어네어,Slumdog Millionaire,범죄
634,메멘토,Memento,범죄
635,바람의 소리,The Message,범죄
636,비열한 거리,A Dirty Carnival,범죄
637,범죄의 재구성,The Big Swindle,범죄
638,펄프 픽션,Pulp Fiction,범죄
639,리플리,The Talented Mr Ripley,범죄
640,아이리시맨,The Irishman,범죄
641,부당거래,The Unjust,범죄
642,보이 A,Boy A,범죄
643,몬스터,Monster,범죄
644,용의자 X의 헌신,X,범죄
645,유주얼 서스펙트,The Usual Suspects,범죄
646,하이 스쿨 뮤지컬: 졸업반,High School Musical  Senior Year,뮤지컬
647,사랑은 비를 타고,Singin In The Rain,뮤지컬
648,인생은 아름다워,Life is Beautiful,뮤지컬
649,물랑 루즈,Moulin Rouge,뮤지컬
650,씽,Sing,뮤지컬
651,시카고,Chicago,뮤지컬
652,맘마미아!2,Mamma Mia Here We Go Again,뮤지컬
653,헤어스프레이,Hairspray,뮤지컬
654,딥,Deep,뮤지컬
655,삼거리 극장,The Ghost Theater,뮤지컬
656,어크로스 더 유니버스,Across The Universe,뮤지컬
657,인 더 하이츠,In the Heights,뮤지컬
658,락 오브 에이지,Rock of Ages,뮤지컬
659,디어 에반 핸슨,Dear Evan Hansen,뮤지컬
660,페임,Fame,뮤지컬
661,나인,Nine,뮤지컬
662,퍼햅스 러브,Perhaps Love,뮤지컬
663,구미호 가족,The Fox Family,뮤지컬
664,캣츠,Cats,뮤지컬
665,아바타 리마스터링,Avatar,SF
666,터미네이터 2:오리지널,Terminator  Judgment Day,SF
667,빽 투 더 퓨쳐,Back To The Future,SF
668,매트릭스,The Matrix,SF
669,에이리언 2,Aliens,SF
670,에이 아이,AI Artificial Intelligence,SF
671,쥬라기 공원,Jurassic Park,SF
672,바이센테니얼 맨,Bicentennial Man,SF
673,가타카,Gattaca,SF
674,터미네이터,The Terminator,SF
675,로보캅,RoboCop,SF
676,마이너리티 리포트,Minority Report,SF
677,이티,The ExtraTerrestrial,SF
678,빽 투 더 퓨쳐 2,Back To The Future Part,SF
679,콘택트,Contact,SF
680,혹성탈출,Monkey Planet,SF
681,빽 투 더 퓨쳐 3,Back To The Future Part III,SF
682,인터스텔라,Interstellar,SF
683,스타워즈 에피소드 3 - 시스의 복수,Star Wars Episode III  Revenge Of The Sith,SF
684,보물성,Treasure Planet,SF
685,스타워즈 에피소드 5 - 제국의 역습,Star Wars Episode V The Empire Strikes Back,SF
686,아바타,Avatar,SF
687,아마겟돈,Armageddon,SF
688,엑스맨: 퍼스트 클래스,XMen First Class,SF
689,케이 팩스,KPAX,SF
690,스타쉽 트루퍼스,Starship Troopers,SF
691,스타워즈 에피소드 4 - 새로운 희망,Star Wars,SF
692,스타워즈 에피소드 6 - 제다이의 귀환,Star Wars Episode VI Return Of The Jedi,SF
693,디스트릭트 9,District,SF
694,아이언맨,Iron Man,SF
695,엑스맨: 데이즈 오브 퓨처 패스트,XMen Days of Future Past,SF
696,아이언맨 3,Iron Man,SF
697,트랜스포머,Transformers,SF
698,토탈 리콜,Total Recall,SF
699,지구를 지켜라!,Save The Green Planet,SF
700,매트릭스 2 - 리로디드,The Matrix Reloaded,SF
701,12 몽키즈,Twelve Monkeys,SF
702,아일랜드,The Island,SF
703,"아이, 로봇",Robot,SF
704,딥 임팩트,Deep Impact,SF
705,블레이드 러너,Blade Runner,SF
706,공각기동대,Ghost In The Shell,SF
707,13 구역,Banlieue,SF
708,스타 트렉: 더 비기닝,Star Trek,SF
709,맨 인 블랙,Men In Black,SF
710,레지던트 이블,Resident Evil,SF
711,매트릭스 3 - 레볼루션,The Matrix Revolutions,SF
712,더 문,Moon,SF
713,다크 시티,Dark City,SF
714,터미네이터: 다크 페이트,Terminator Dark Fate,SF
715,탑건: 매버릭,Top Gun Maverick,액션
716,포드 V 페라리,FORD v FERRARI,액션
717,글래디에이터,Gladiator,액션
718,태극권,The TaiChi Master,액션
719,헌터 킬러,Hunter Killer,액션
720,어벤져스: 엔드게임,Avengers Endgame,액션
721,클레멘타인,Clementine,액션
722,잭 스나이더의 저스티스 리그,Zack Snyders Justice League,액션
723,더 록,The Rock,액션
724,다크 나이트,The Dark Knight,액션
725,폴리스 스토리,Police Story,액션
726,다이 하드,Die Hard,액션
727,보디가드,The Bodyguard From Beijing,액션
728,동방불패,Swordsman II,액션
729,영웅: 샐러멘더의 비밀,Pyataya Kazn,액션
730,취권 2,II Drunken Master II,액션
731,RRR: 라이즈 로어 리볼트,RRR,액션
732,브레이브하트,Braveheart,액션
733,본 얼티메이텀,The Bourne Ultimatum,액션
734,해바라기,Sunflower,액션
735,아저씨,The Man from Nowhere,액션
736,인셉션,Inception,액션
737,크림슨 타이드,Crimson Tide,액션
738,백발마녀전,The Bride With White Hair,액션
739,엽문,The Legend Of Ip Man,액션
740,페이스 오프,FaceOff,액션
741,테이큰,Taken,액션
742,프레데터,Predator,액션
743,천장지구,To Love With No Regret,액션
744,네고시에이터,The Negotiator,액션
745,영웅본색,A Better Tomorrow,액션
746,에너미 오브 스테이트,Enemy Of The State,액션
747,범죄도시,THE OUTLAWS,액션
748,도망자,The Fugitive,액션
749,스트레인저 - 무황인담,Sword Of The Stranger,액션
750,스피드,Speed,액션
751,미션 임파서블: 폴아웃,Mission Impossible  Fallout,액션
752,분노의 질주: 더 세븐,Fast  Furious,액션
753,노킹 온 헤븐스 도어,Knockin On Heavens Door,액션
754,클리프행어,Cliffhanger,액션
755,7인의 사무라이,Seven Samurai,액션
756,콘 에어,Con Air,액션
757,투캅스 3,Two Cops,액션
758,정무문,Fist Of Fury,액션
759,첩혈쌍웅,The Killer,액션
760,로건,Logan,액션
761,이연걸의 정무문,Fist Of Legend,액션
762,록키 2,Rocky II,액션
763,업그레이드,Upgrade,액션
764,배트맨 2,Batman Returns,액션
