id,Movie Name,Eng Name,Genre
127,더 셀,The Cell,공포
128,시실리 2km,km,공포
129,이블 데드,The Evil Dead,공포
130,여고괴담,Whispering Corridors,공포
131,매드니스,In The Mouth Of Madness,공포
132,데드 얼라이브,Braindead,공포
133,불신지옥,Possessed,공포
134,맨 인 더 다크,Dont Breathe,공포
135,스켈리톤 키,The Skeleton Key,공포
136,트라이앵글,Triangle,공포
137,제인 도,The Autopsy of Jane Doe,공포
138,반교: 디텐션,Detention,공포
139,하우스 오브 왁스,House Of Wax,공포
140,컨저링,The Conjuring,공포
141,더 로드,Dead End,공포
142,떼시스,Thesis,공포
143,에이리언 2020,Pitch Black,공포
144,1408,,공포
145,사일런트 힐,Silent Hill,공포
146,라스트 나잇 인 소호,Last Night in Soho,공포
147,마마,Mama,공포
148,어느날 갑자기 세번째 이야기 - D-day,,공포
149,스테이크 랜드,Stake Land,공포
150,클래식,The Classic,멜로/애정/로맨스
151,사운드 오브 뮤직,The Sound Of Music,멜로/애정/로맨스
152,타이타닉,Titanic,멜로/애정/로맨스
153,"지금, 만나러 갑니다",Be With You,멜로/애정/로맨스
154,로망,Romang,멜로/애정/로맨스
155,플립,Flipped,멜로/애정/로맨스
156,소년시절의 너,Better Days,멜로/애정/로맨스
157,말할 수 없는 비밀,Secret,멜로/애정/로맨스
158,사랑과 영혼,Ghost,멜로/애정/로맨스
159,첫 키스만 50번째,First Dates,멜로/애정/로맨스
160,러브 앳,Mon inconnue,멜로/애정/로맨스
161,어바웃 타임,About Time,멜로/애정/로맨스
162,사랑의 블랙홀,Groundhog Day,멜로/애정/로맨스
163,러브 어페어,Love Affair,멜로/애정/로맨스
164,첨밀밀,Comrades Almost A Love Story,멜로/애정/로맨스
165,그해 여름,Once In A Summer,멜로/애정/로맨스
166,오직 그대만,Always,멜로/애정/로맨스
167,이터널 선샤인,Eternal Sunshine Of The Spotless Mind,멜로/애정/로맨스
168,파이란,Failan,멜로/애정/로맨스
169,노팅 힐,Notting Hill,멜로/애정/로맨스
170,너는 내 운명,Youre My Sunshine,멜로/애정/로맨스
171,이프 온리,If Only,멜로/애정/로맨스
172,노트북,The Notebook,멜로/애정/로맨스
173,꽃다발 같은 사랑을 했다,We Made a Beautiful Bouquet,멜로/애정/로맨스
174,당신이 잠든 사이에,While You Were Sleeping,멜로/애정/로맨스
175,더티 댄싱,Dirty Dancing,멜로/애정/로맨스
176,동감,Ditto,멜로/애정/로맨스
177,성원,Fly Me To Polaris,멜로/애정/로맨스
178,블루 라군,The Blue Lagoon,멜로/애정/로맨스
179,청설,Hear Me,멜로/애정/로맨스
180,"그 시절, 우리가 좋아했던 소녀",You Are the Apple of My Eye,멜로/애정/로맨스
181,보디가드,The Bodyguard,멜로/애정/로맨스
182,연애소설,Lovers Concerto,멜로/애정/로맨스
183,마법에 걸린 사랑,Enchanted,멜로/애정/로맨스
184,내 이야기!!,My Love Story,멜로/애정/로맨스
185,번지 점프를 하다,Bungee Jumping Of Their Own,멜로/애정/로맨스
186,선물,Last Present,멜로/애정/로맨스
187,오버 더 레인보우,Over The Rainbow,멜로/애정/로맨스
188,윤희에게,Moonlit Winter,멜로/애정/로맨스
189,"나는 내일, 어제의 너와 만난다",My tomorrow,멜로/애정/로맨스
190,러브 액츄얼리,Love Actually,멜로/애정/로맨스
191,"다만, 널 사랑하고 있어",Heavenly Forest,멜로/애정/로맨스
192,에버 애프터,Ever After,멜로/애정/로맨스
193,미드나잇 선,Midnight Sun,멜로/애정/로맨스
194,...ing,,멜로/애정/로맨스
195,비포 선라이즈,Before Sunrise,멜로/애정/로맨스
196,내 머리 속의 지우개,A Moment To Remember,멜로/애정/로맨스
197,그 여자 작사 그 남자 작곡,MUSIC  LYRICS,멜로/애정/로맨스
198,나의 소녀시대,Our Times,멜로/애정/로맨스
199,블랙북,Zwartboek,멜로/애정/로맨스
200,베일리 어게인,A Dogs Purpose,모험
201,나 홀로 집에,Home Alone,모험
202,알라딘,Aladdin,모험
203,나 홀로 집에 2 - 뉴욕을 헤매다,Home Alone  Lost In New York,모험
204,해리 포터와 죽음의 성물 - 2부,Harry Potter And The Deathly Hallows Part,모험
205,에이트 빌로우,Eight Below,모험
206,미이라,The Mummy,모험
207,빠삐용,Papillon,모험
208,쥬만지,Jumanji,모험
209,블러드 다이아몬드,Blood Diamond,모험
210,버킷리스트: 죽기 전에 꼭 하고 싶은 것들,The Bucket List,모험
211,인디아나 존스 - 최후의 성전,Indiana Jones And The Last Crusade,모험
212,구니스,The Goonies,모험
213,볼트,Bolt,모험
214,진용,A TerraCotta Warrior,모험
215,인디아나 존스,Indiana Jones And The Temple Of Doom,모험
216,곰돌이 푸 다시 만나 행복해,Christopher Robin,모험
217,본 슈프리머시,The Bourne Supremacy,모험
218,킹콩,King Kong,모험
219,스노우 워커,The Snow Walker,모험
220,레이더스,Raiders Of The Lost Ark,모험
221,콜 오브 와일드,The Call of the Wild,모험
222,미이라 2,The Mummy Returns,모험
223,라이프 오브 파이,Life of Pi,모험
224,극장판 포켓몬스터 너로 정했다!,Pokemon the movie I Choose You,모험
225,미션 임파서블 3,Mission Impossible III,모험
226,극장판 원피스 스탬피드,ONE PIECE STAMPEDE,모험
227,월터의 상상은 현실이 된다,The Secret Life of Walter Mitty,모험
228,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,XYZ,모험
229,극장판 도라에몽: 진구의 마계 대모험 7인의 마법사,,모험
230,괴물,The Host,모험
231,더 폴: 오디어스와 환상의 문,The Fall,모험
232,트래쉬,Trash,모험
233,옥자,Okja,모험
234,정글북,The Jungle Book,모험
235,워터월드,Waterworld,모험
236,마션,The Martian,모험
237,에놀라 홈즈,Enola Holmes,모험
238,노스페이스,Nordwand,모험
239,프리즌 이스케이프,Escape From Pretoria,모험
240,로드 투 퍼디션,Road To Perdition,모험
241,해적: 바다로 간 산적,The Pirates,모험
242,라이온 킹,The Lion King,모험
243,거울나라의 앨리스,Alice Through the Looking Glass,모험
244,벤허,BenHur,모험
245,피터와 드래곤,Petes Dragon,모험
246,벼랑 위의 포뇨,Ponyo On The Cliff,모험
247,허비 - 첫 시동을 걸다,Herbie Fully Loaded,모험
248,워터호스,The Water Horse Legend Of The Deep,모험
249,127 시간,Hours,모험
250,올빼미,The Night Owl,스릴러
251,저수지 게임,The Reservoir Game,스릴러
252,미져리,Misery,스릴러
253,하녀,The Housemaid,스릴러
254,김복남 살인사건의 전말,Bedevilled,스릴러
255,모리타니안,The Mauritanian,스릴러
256,조커,Joker,스릴러
257,범죄의 여왕,The Queen of Crime,스릴러
258,배드 지니어스,Chalard Games Goeng,스릴러
259,프레스티지,The Prestige,스릴러
260,올가미,The Hole,스릴러
261,레드 스패로,Red Sparrow,스릴러
262,몽타주,Montage,스릴러
263,분노,RAGE,스릴러
264,더 스파이,The Courier,스릴러
265,닥터 슬립,Doctor Sleep,스릴러
266,리턴,Return,스릴러
267,해피 엔드,Happy End,스릴러
268,폴: 600미터,The Fall,스릴러
269,나를 찾아줘,Gone Girl,스릴러
270,더 테러 라이브,The Terror,스릴러
271,더 재킷,The Jacket,스릴러
272,제로 다크 서티,Zero Dark Thirty,스릴러
273,노인을 위한 나라는 없다,No Country For Old Men,스릴러
274,팅커 테일러 솔저 스파이,Tinker Tailor Soldier Spy,스릴러
275,랜섬,Ransom,스릴러
276,작전명 발키리,Valkyrie,스릴러
277,무언의 목격자,Mute Witness,스릴러
278,롱 키스 굿나잇,The Long Kiss Goodnight,스릴러
279,콰이어트 플레이스 2,A Quiet Place Part II,스릴러
280,트위스터,Twister,스릴러
281,블라인드 멜로디,Andhadhun,스릴러
282,아나콘다,Anaconda,스릴러
283,퍼펙트 스톰,The Perfect Storm,스릴러
284,프리즈너스,Prisoners,스릴러
285,딥 라이징,Deep Rising,스릴러
286,아웃브레이크,Outbreak,스릴러
287,밀레니엄 : 여자를 증오한 남자들,The Girl With The Dragon Tattoo,스릴러
288,블라인드,Blind,스릴러
289,썸 오브 올 피어스,The Sum Of All Fears,스릴러
290,인썸니아,Insomnia,스릴러
291,히든 페이스,La cara oculta,스릴러
292,프리즈 프레임,Freeze Frame,스릴러
293,섹스 마네킹,Love Object,스릴러
294,머시니스트,The Machinist,스릴러
295,덫: 치명적인 유혹,Trap,스릴러
296,존 윅,John Wick,스릴러
297,함정,Arlington Road,스릴러
298,본 콜렉터,The Bone Collector,스릴러
299,거미숲,Spider Forest,스릴러
300,달콤한 인생,A Bittersweet Life,느와르
301,18 : 우리들의 성장 느와르,Eighteen Noir,느와르
302,하이힐,Highheel,느와르
303,사생결단,Bloody Tie,느와르
304,창수,Tumbleweed,느와르
305,친구2,FRIEND  THE GREAT LEGACY,느와르
306,런던 블러바드,London Boulevard,느와르
307,미옥,A Special Lady,느와르
308,깡치,Kkangchi,느와르
309,얼굴없는 보스,The faceless boss,느와르
310,할머니의 먼 집,DEAR GRANDMA,다큐멘터리
311,밥정,The Wandering Chef,다큐멘터리
312,주전장,Shusenjo The Main Battleground of Comfort Women Issue,다큐멘터리
313,사이버 지옥: N번방을 무너뜨려라,Cyber Hell Exposing An Internet Horror,다큐멘터리
314,가나의 혼인잔치: 언약,Before The Wrath,다큐멘터리
315,다시 태어나도 우리,Becoming Who I Was,다큐멘터리
316,울지마 톤즈,Dont Cry for Me Sudan,다큐멘터리
317,교회오빠,A Job Who Is near Us,다큐멘터리
318,폴란드로 간 아이들,The Children Gone to Poland,다큐멘터리
319,브레이크 더 사일런스: 더 무비,BREAK THE SILENCE THE MOVIE,다큐멘터리
320,자백,Spy Nation,다큐멘터리
321,더 코브: 슬픈 돌고래의 진실,The Cove,다큐멘터리
322,퀸 락 몬트리올,Queen Rock Montreal,다큐멘터리
323,마이클 잭슨의 디스 이즈 잇,Michael Jacksons This Is It,다큐멘터리
324,브링 더 소울 : 더 무비,BRING THE SOUL  THE MOVIE,다큐멘터리
325,부활: 그 증거,Stigma,다큐멘터리
326,땐뽀걸즈,Dance sports Girls,다큐멘터리
327,트루맛쇼,The Truetaste Show,다큐멘터리
328,"님아, 그 강을 건너지 마오",My Love,다큐멘터리
329,잉여들의 히치하이킹,Lazy hitchhikers tour de europe,다큐멘터리
330,뚜르: 내 생애 최고의 49일,Le Tour My Last  Days,다큐멘터리
331,슈퍼소닉,Supersonic,다큐멘터리
332,"서서평, 천천히 평온하게",,다큐멘터리
333,너에게 가는 길,Coming to you,다큐멘터리
334,칠곡 가시나들,Granny Poetry Club,다큐멘터리
335,트와이스랜드,TWICELAND,다큐멘터리
336,식코,Sicko,다큐멘터리
337,비상,Fly Up,다큐멘터리
338,트윈스터즈,Twinsters,다큐멘터리
339,전투왕,,다큐멘터리
340,피아니스트 세이모어의 뉴욕 소네트,Seymour An Introduction,다큐멘터리
341,피의 연대기,For Vaginas Sake,다큐멘터리
342,공범자들,Criminal Conspiracy,다큐멘터리
343,젝스키스 에이틴,SECHSKIES Eighteen,다큐멘터리
344,댄서,Dancer,다큐멘터리
345,"제자, 옥한흠",,다큐멘터리
346,나는 고양이로소이다,I am a Cat,다큐멘터리
347,타샤 튜더,Tasha Tudor A Still Water Story,다큐멘터리
348,서칭 포 슈가맨,Searching for Sugar Man,다큐멘터리
349,인생 후르츠,Life Is Fruity,다큐멘터리
350,고양이 춤,Dancing Cat,다큐멘터리
351,빅뱅 메이드,BIGBANG MADE,다큐멘터리
352,인사이드 잡,Inside Job,다큐멘터리
353,말하는 건축가,Talking Architect,다큐멘터리
354,김정일리아,Kimjongilia,다큐멘터리
355,우리 학교,Our School,다큐멘터리
356,"그날, 바다",Intention,다큐멘터리
357,우린 액션배우다,Action Boys,다큐멘터리
358,노무현입니다,OUR PRESIDENT,다큐멘터리
359,태양 아래,V paprscich slunce,다큐멘터리
360,서유기 2 - 선리기연,A Chinese Odyssey Part Two  Cinderella,코미디
361,트루먼 쇼,The Truman Show,코미디
362,세 얼간이,Idiots,코미디
363,미세스 다웃파이어,Mrs Doubtfire,코미디
364,언터처블: 1%의 우정,Intouchables,코미디
365,모던 타임즈,Modern Times,코미디
366,라따뚜이,Ratatouille,코미디
367,엽기적인 그녀,My Sassy Girl,코미디
368,로마의 휴일,Roman Holiday,코미디
369,패밀리 맨,The Family Man,코미디
370,시스터 액트,Sister Act,코미디
371,위대한 독재자,The Great Dictator,코미디
372,빅,Big,코미디
373,서유기 - 월광보합,A Chinese Odyssey Part One  Pandoras Box,코미디
374,스팅,The Sting,코미디
375,스쿨 오브 락,The School Of Rock,코미디
376,라디오 스타,Radio Star,코미디
377,과속스캔들,Speed Scandal,코미디
378,마틸다,Matilda,코미디
379,마스크,The Mask,코미디
380,조조 래빗,Jojo Rabbit,코미디
381,패딩턴 2,Paddington,코미디
382,쉘 위 댄스,Shall We Dance,코미디
383,혐오스런 마츠코의 일생,Memories Of Matsuko,코미디
384,즐거운 인생,Happy Life,코미디
385,취권,Drunken Master,코미디
386,클릭,Click,코미디
387,아는 여자,Someone Special,코미디
388,써니,Sunny,코미디
389,우드잡,Wood Job,코미디
390,시스터 액트 2,Sister Act  Back In The Habit,코미디
391,패치 아담스,Patch Adams,코미디
392,피케이: 별에서 온 얼간이,PK,코미디
393,내 깡패 같은 애인,My Dear Desperado,코미디
