Movie Name,Actor00,Actor01,Actor02,Actor03,Actor04,Actor05,Actor06,Actor07,Actor08
미녀와 야수,페이지 오하라,로비 벤슨,리처드 화이트,제리 오바치,데이빗 오그던 스타이어스
해리 포터와 아즈카반의 죄수,다니엘 래드클리프,엠마 왓슨,루퍼트 그린트,로비 콜트레인,티모시 스폴
스트레인저 댄 픽션,윌 페렐,매기 질렌할,더스틴 호프만,퀸 라티파,엠마 톰슨
"당신, 거기 있어줄래요",김윤석,변요한,채서진,김상호,안세하
큐브,니콜 드 보아,니키 과다그니,데이빗 휴렛,앤드류 밀러,줄리안 리칭즈
나니아 연대기 - 캐스피언 왕자,벤 반스,조지 헨리,스캔다 케인즈,윌리암 모즐리,안나 팝플웰
천국의 우편배달부,김재중,한효주,신구,김창완,주진모
13층,크레이그 비에코,그레첸 몰,빈센트 도노프리오,데니스 헤이스버트,스티브 슈브
천년여우 여우비,손예진,공형진,류덕환,이향숙,김소형
스파이더위크가의 비밀,프레디 하이모어,메리 루이스 파커,닉 놀테,사라 볼거,앤드류 맥카시
록키 호러 픽쳐 쇼,팀 커리,수잔 서랜든,베리 보스트윅,리처드 오브라이언,패트리시아 퀸
호빗: 다섯 군대 전투,마틴 프리먼,이안 맥켈런,리처드 아미티지,케이트 블란쳇,올랜도 블룸
호빗 : 스마우그의 폐허,마틴 프리먼,이안 맥켈런,리처드 아미티지,케이트 블란쳇,올랜도 블룸
아더와 미니모이: 제1탄 비밀 원정대의 출정,프레디 하이모어,미아 패로,페니 밸포어,더그 랜드,아담 르페브리
미스 페레그린과 이상한 아이들의 집,에바 그린,에이사 버터필드,사무엘 L. 잭슨,앨리슨 제니,엘라 퍼넬
호빗 : 뜻밖의 여정,이안 맥켈런,마틴 프리먼,리처드 아미티지,제임스 네스빗,켄 스탓
존 말코비치 되기,존 쿠삭,카메론 디아즈,캐서린 키너,오슨 빈,메리 케이 플레이스
"오늘 밤, 로맨스 극장에서",아야세 하루카,사카구치 켄타로,혼다 츠바사,키타무라 카즈키,나카오 아키요시
불청객,김진식,원강영,이응일,None,None
헝거게임: 캣칭 파이어,제니퍼 로렌스,조쉬 허처슨,리암 헴스워스,우디 해럴슨,샘 클라플린
비밀,히로스에 료코,코바야시 카오루,키시모토 가요코,카네코 켄,이시다 유리코
판의 미로 - 오필리아와 세 개의 열쇠,이바나 바쿠에로,더그 존스,세르지 로페즈,아리아드나 길,마리벨 베르두
내안의 그놈,진영,박성웅,라미란,이수민,이준혁
말레피센트,안젤리나 졸리,엘르 패닝,샬토 코플리,주노 템플,브렌튼 스웨이츠
캐리비안의 해적 - 세상의 끝에서,조니 뎁,올랜도 블룸,키이라 나이틀리,스텔란 스카스가드,빌 나이
인랑,후지키 요시카츠,None,None,None,None
경계선,에바 멜란데르,에로 밀로노프,요르겐 토르손,앤 페트렌,스텐 륜그렌
슬리피 할로우,조니 뎁,크리스티나 리치,미란다 리차드슨,마이클 갬본,캐스퍼 반 디엔
신비한 동물사전,에디 레드메인,콜린 파렐,캐서린 워터스턴,앨리슨 수돌,댄 포글러
메리 포핀스 리턴즈,에밀리 블런트,린-마누엘 미란다,벤 위쇼,에밀리 모티머,줄리 월터스
케이트 앤 레오폴드,멕 라이언,휴 잭맨,리브 슈라이버,브레킨 메이어,나타샤 리온
환생,쿠사나기 츠요시,다케우치 유코,아이카와 쇼우,야마모토 케이치,키타바야시 타니에
뱀파이어와의 인터뷰,톰 크루즈,브래드 피트,안토니오 반데라스,스티븐 레아,크리스찬 슬레이터
에이리언,톰 스커릿,시고니 위버,베로니카 카트라이트,해리 딘 스탠튼,존 허트
싸이코,안소니 퍼킨스,베라 마일즈,존 게빈,마틴 발삼,존 맥킨타이어
죠스,로이 샤이더,로버트 쇼,리차드 드레이퓨즈,로레인 게리,머레이 해밀턴
무서운 집,구윤희,양병간,None,None,None
사탄의 인형,캐서린 힉스,크리스 서랜던,알렉스 빈센트,브래드 듀리프,디나 마노프
"장화, 홍련",임수정,염정아,김갑수,문근영,박미현
알 포인트,감우성,손병호,박원상,오태경,이선균
블레이드 2,웨슬리 스나입스,크리스 크리스토퍼슨,론 펄먼,레오노어 바레라,노만 리더스
딥 블루 씨,세프론 버로우스,토마스 제인,LL 쿨 J,자클린 맥켄지,마이클 래파포트
플라이,제프 골드브럼,지나 데이비스,존 게츠,조이 부쉘,레슬리 카슨
엑소시스트,엘렌 버스틴,막스 폰 시도우,린다 블레어,리J.콥,키티 윈
카메라를 멈추면 안 돼!,하마츠 타카유키,아키야마 유즈키,나가야 카즈아키,슈하마 하루미,마오
나이트메어,존 색슨,로니 블랙클리,헤더 랜겐캠프,아만다 위스,주 가르시아
렛 미 인,카레 헤레브란트,리나 레안데르손,카린 베그퀴스트,피터 칼버그,이카 노드
링,마츠시마 나나코,나카타니 미키,사나다 히로유키,다케우치 유코,사토 히토미
새벽의 저주,사라 폴리,빙 라메스,제이크 웨버,타이 버렐,메키 파이퍼
패컬티,조다나 브류스터,클리어 듀발,로라 해리스,조쉬 하트넷,숀 하토시
오펀: 천사의 비밀,베라 파미가,피터 사스가드,이사벨 퍼만,CCH 파운더,지미 베넷
스크림,데이빗 아퀘트,니브 캠벨,커트니 콕스,매튜 릴라드,스키트 울리치
오멘,그레고리 펙,리 레믹,데이비드 워너,빌리 화이트로우,패트릭 트로우톤
쏘우 2,토빈 벨,쇼니 스미스,도니 월버그,에릭 넉슨,프랭키 G
데스티네이션,데본 사와,알리 라터,커 스미스,크리스틴 크록,숀 윌리엄 스코트
여고괴담 두번째 이야기,김규리,박예진,이영진,공효진,김재인
컨저링 2,베라 파미가,패트릭 윌슨,프란카 포텐테,프란시스 오코너,매디슨 울프
팬도럼,데니스 퀘이드,벤 포스터,캠 지갠뎃,안체 트라우,쿵 리
본즈 앤 올,테일러 러셀,티모시 샬라메,마크 라이런스,클로에 세비니,None
더 셀,제니퍼 로페즈,빈스 본,빈센트 도노프리오,마리안 장 밥티스트,제이크 웨버
시실리 2km,임창정,권오중,임은경,변희봉,박명신
이블 데드,브루스 캠벨,엘렌 샌드웨이스,리처드 드매닌코,벳시 베이커,테레사 틸리
여고괴담,이미연,박용수,김규리,최강희,윤지혜
매드니스,샘 닐,줄리 카르멘,위르겐 프로흐노,데이비드 워너,존 글로버
